name,row,anio,estatus_transparencia,total
a31 Solicitudes de información -1 - 2023 - Afirmativas,1,2023,Afirmativas,353
a31 Solicitudes de información -2 - 2023 - Afirmativas parciales,2,2023,Afirmativas parciales,512
a31 Solicitudes de información -3 - 2023 - Afirmativas parciales - Por tratarse de información reservada,3,2023,Afirmativas parciales - Por tratarse de información reservada,3
a31 Solicitudes de información -4 - 2023 - Afirmativas parciales - Por tratarse de información confidencial,4,2023,Afirmativas parciales - Por tratarse de información confidencial,156
a31 Solicitudes de información -5 - 2023 - Afirmativas parciales - Por inexistencia,5,2023,Afirmativas parciales - Por inexistencia,353
a31 Solicitudes de información -6 - 2023 - Negativas,6,2023,Negativas,410
a31 Solicitudes de información -7 - 2023 - Negativas - Por tratarse de información reservada,7,2023,Negativas - Por tratarse de información reservada,0
a31 Solicitudes de información -8 - 2023 - Negativas - Por tratarse de información confidencial,8,2023,Negativas - Por tratarse de información confidencial,12
a31 Solicitudes de información -9 - 2023 - Negativas - Por inexistencia,9,2023,Negativas - Por inexistencia,245
a31 Solicitudes de información -10 - 2023 - Negativas - Rechazada por no cumplir con los requisitos de ley,10,2023,Negativas - Rechazada por no cumplir con los requisitos de ley,43
"a31 Solicitudes de información -11 - 2023 - Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",11,2023,"Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",87
a31 Solicitudes de información -12 - 2023 - Negativas - Ajena al ejercicio de acceso a la información,12,2023,Negativas - Ajena al ejercicio de acceso a la información,23
