name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2018B 1 14MMS0607X BGC,1,2018-2019,2018,B,14MMS0607X,BGC,,,,1332,,,,420,,,,912,31.53,,165.339
2018B 2 14MMS0608W BGC,2,2018-2019,2018,B,14MMS0608W,BGC,,,,1887,,,,630,,,,1257,33.39,,157.482
2018B 3 14MMS0609V BGC,3,2018-2019,2018,B,14MMS0609V,BGC,,,,1013,,,,360,,,,653,35.54,,163.853
2018B 4 14MMS0610K BGC,4,2018-2019,2018,B,14MMS0610K,BGC,,,,982,,,,360,,,,622,36.66,,167.326
2018B 5 14MMS0611J BGC,5,2018-2019,2018,B,14MMS0611J,BGC,,,,1353,,,,400,,,,953,29.56,,176.43
2018B 6 14MMS0612I BGC,6,2018-2019,2018,B,14MMS0612I,BGC,,,,2335,,,,720,,,,1615,30.84,,162.3
2018B 7 14MMS0613H BGC,7,2018-2019,2018,B,14MMS0613H,BGC,,,,1966,,,,900,,,,1066,45.78,,156.052
2018B 8 14MMS0647Y BGC,8,2018-2019,2018,B,14MMS0647Y,BGC,,,,1478,,,,540,,,,938,36.54,,153.571
2018B 9 14MMS0648X BGC,9,2018-2019,2018,B,14MMS0648X,BGC,,,,1466,,,,504,,,,962,34.38,,169.096
2018B 10 14MMS0649W BGC,10,2018-2019,2018,B,14MMS0649W,BGC,,,,2040,,,,720,,,,1320,35.29,,162.008
2018B 11 14MMS0650L BGC,11,2018-2019,2018,B,14MMS0650L,BGC,,,,1394,,,,504,,,,890,36.15,,163.254
2018B 12 14MMS0650L 3095300007,12,2018-2019,2018,B,14MMS0650L,3095300007,,,,208,,,,70,,,,138,33.65,,172.421
2018B 13 14MMS0650L 3093100005,13,2018-2019,2018,B,14MMS0650L,3093100005,,,,169,,,,70,,,,99,41.42,,159.272
2018B 14 14MMS0646Z BGC,14,2018-2019,2018,B,14MMS0646Z,BGC,,,,2151,,,,1035,,,,1116,48.12,,146.911
2018B 15 14MMS0646Z 3073200001,15,2018-2019,2018,B,14MMS0646Z,3073200001,,,,181,,,,120,,,,61,66.30,,144.576
2018B 16 14MMS0646Z 3071700002,16,2018-2019,2018,B,14MMS0646Z,3071700002,,,,100,,,,40,,,,60,40.00,,151.838
2018B 17 14MMS0640E BGC,17,2018-2019,2018,B,14MMS0640E,BGC,,,,572,,,,160,,,,412,27.97,,155.045
2018B 18 14MMS0615F BGC,18,2018-2019,2018,B,14MMS0615F,BGC,,,,1596,,,,400,,,,1196,25.06,,170.207
2018B 19 14MMS0630Y BGC,19,2018-2019,2018,B,14MMS0630Y,BGC,,,,1114,,,,360,,,,754,32.32,,157.631
2018B 20 14MMS0641D BGC,20,2018-2019,2018,B,14MMS0641D,BGC,,,,209,,,,90,,,,119,43.06,,150.627
2018B 21 14MMS0631X BGC,21,2018-2019,2018,B,14MMS0631X,BGC,,,,1236,,,,560,,,,676,45.31,,159.295
2018B 22 14MMS0636S BGC,22,2018-2019,2018,B,14MMS0636S,BGC,,,,914,,,,495,,,,419,54.16,,143.732
2018B 23 14MMS0752I BGC,23,2018-2019,2018,B,14MMS0752I,BGC,,,,889,,,,270,,,,619,30.37,,160.92
2018B 24 14MMS0752I 3061300004,24,2018-2019,2018,B,14MMS0752I,3061300004,,,,237,,,,90,,,,147,37.97,,157.747
2018B 25 14MMS0752I 3000000001,25,2018-2019,2018,B,14MMS0752I,3000000001,,,,234,,,,90,,,,144,38.46,,152.897
2018B 26 14MMS0753H BGC,26,2018-2019,2018,B,14MMS0753H,BGC,,,,1253,,,,450,,,,803,35.91,,152.12
2018B 27 14MMS0757D BGC,27,2018-2019,2018,B,14MMS0757D,BGC,,,,1200,,,,450,,,,750,37.50,,154.701
2018B 28 14MMS0756E BGC,28,2018-2019,2018,B,14MMS0756E,BGC,,,,1222,,,,450,,,,772,36.82,,154.71
2018B 29 14MMS0776S 2071200002,29,2018-2019,2018,B,14MMS0776S,2071200002,,,,165,,,,90,,,,75,54.55,,149.411
2018B 30 14MMS0776S 2071100002,30,2018-2019,2018,B,14MMS0776S,2071100002,,,,286,,,,180,,,,106,62.94,,143.447
2018B 31 14MMS0776S 2072400003,31,2018-2019,2018,B,14MMS0776S,2072400003,,,,107,,,,45,,,,62,42.06,,153.945
2018B 32 14MMS0776S 2072300001,32,2018-2019,2018,B,14MMS0776S,2072300001,,,,94,,,,47,,,,47,50.00,,147.57
2018B 33 14MMS0776S 2071400003,33,2018-2019,2018,B,14MMS0776S,2071400003,,,,200,,,,90,,,,110,45.00,,158.049
2018B 34 14MMS0776S 2062200013,34,2018-2019,2018,B,14MMS0776S,2062200013,,,,463,,,,180,,,,283,38.88,,161.646
2018B 35 14MMS0776S 2072100002,35,2018-2019,2018,B,14MMS0776S,2072100002,,,,354,,,,180,,,,174,50.85,,152.921
2018B 36 14MMS0799C 3042000001,36,2018-2019,2018,B,14MMS0799C,3042000001,,,,262,,,,160,,,,102,61.07,,152.155
2018B 37 14MMS0799C 3041100005,37,2018-2019,2018,B,14MMS0799C,3041100005,,,,214,,,,80,,,,134,37.38,,160.845
2018B 38 14MMS0799C 2051200001,38,2018-2019,2018,B,14MMS0799C,2051200001,,,,209,,,,80,,,,129,38.28,,159.227
2018B 39 14MMS0799C 2071200011,39,2018-2019,2018,B,14MMS0799C,2071200011,,,,115,,,,80,,,,35,69.57,,146.22
2018B 40 14MMS0799C 2062200007,40,2018-2019,2018,B,14MMS0799C,2062200007,,,,238,,,,160,,,,78,67.23,,144.492
2018B 41 14MMS0799C 2072000001,41,2018-2019,2018,B,14MMS0799C,2072000001,,,,69,,,,69,,,,0,100.00,,123.423
2018B 42 14MMS0799C 2062100003,42,2018-2019,2018,B,14MMS0799C,2062100003,,,,77,,,,77,,,,0,100.00,,126.322
2018B 43 14MMS0645Z BGC,43,2018-2019,2018,B,14MMS0645Z,BGC,,,,1702,,,,504,,,,1198,29.61,,159.007
2018B 44 14MMS0645Z 3042100026,44,2018-2019,2018,B,14MMS0645Z,3042100026,,,,249,,,,90,,,,159,36.14,,159.944
2018B 45 14MMS0645Z 3021700001,45,2018-2019,2018,B,14MMS0645Z,3021700001,,,,143,,,,40,,,,103,27.97,,150.931
2018B 46 14MMS0623O BGC,46,2018-2019,2018,B,14MMS0623O,BGC,,,,1827,,,,540,,,,1287,29.56,,157.457
2018B 47 14MMS0614G BGC,47,2018-2019,2018,B,14MMS0614G,BGC,,,,2153,,,,810,,,,1343,37.62,,164.938
2018B 48 14MMS0614G 3101600003,48,2018-2019,2018,B,14MMS0614G,3101600003,,,,310,,,,180,,,,130,58.06,,155.927
2018B 49 14MMS0762P BGC,49,2018-2019,2018,B,14MMS0762P,BGC,,,,93,,,,93,,,,0,100.00,,122.68
2018B 50 14MMS0761Q BGC,50,2018-2019,2018,B,14MMS0761Q,BGC,,,,113,,,,113,,,,0,100.00,,124.517
2018B 51 14MMS0643B BGC,51,2018-2019,2018,B,14MMS0643B,BGC,,,,358,,,,225,,,,133,62.85,,146.042
2018B 52 14MMS0727J BGC,52,2018-2019,2018,B,14MMS0727J,BGC,,,,39,,,,39,,,,0,100.00,,127.212
