name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2020A 1 14MMS0607X BGC,1,2019-2020,2020,A,14MMS0607X,BGC,,,,828,,,,420,,,,408,50.72,,148.968
2020A 2 14MMS0608W BGC,2,2019-2020,2020,A,14MMS0608W,BGC,,,,1233,,,,630,,,,603,51.09,,144.175
2020A 3 14MMS0609V BGC,3,2019-2020,2020,A,14MMS0609V,BGC,,,,769,,,,351,,,,418,45.64,,151.664
2020A 4 14MMS0610K BGC,4,2019-2020,2020,A,14MMS0610K,BGC,,,,554,,,,360,,,,194,64.98,,150.529
2020A 5 14MMS0611J BGC,5,2019-2020,2020,A,14MMS0611J,BGC,,,,927,,,,400,,,,527,43.15,,166.169
2020A 6 14MMS0612I BGC,6,2019-2020,2020,A,14MMS0612I,BGC,,,,1247,,,,720,,,,527,57.74,,147.731
2020A 7 14MMS0613H BGC,7,2019-2020,2020,A,14MMS0613H,BGC,,,,1158,,,,900,,,,258,77.72,,136.731
2020A 8 14MMS0647Y BGC,8,2019-2020,2020,A,14MMS0647Y,BGC,,,,1010,,,,540,,,,470,53.47,,142.257
2020A 9 14MMS0648X BGC,9,2019-2020,2020,A,14MMS0648X,BGC,,,,851,,,,500,,,,351,58.75,,153.345
2020A 10 14MMS0649W BGC,10,2019-2020,2020,A,14MMS0649W,BGC,,,,1153,,,,720,,,,433,62.45,,145.311
2020A 11 14MMS0650L BGC,11,2019-2020,2020,A,14MMS0650L,BGC,,,,960,,,,480,,,,480,50.00,,151.1
2020A 12 14MMS0650L 3093100005,12,2019-2020,2020,A,14MMS0650L,3093100005,,,,81,,,,81,,,,0,100.00,,119.745
2020A 13 14MMS0650L 3095300007,13,2019-2020,2020,A,14MMS0650L,3095300007,,,,100,,,,80,,,,20,80.00,,143.315
2020A 14 14MMS0646Z BGC,14,2019-2020,2020,A,14MMS0646Z,BGC,,,,434,,,,434,,,,0,100.00,,115.045
2020A 15 14MMS0640E BGC,15,2019-2020,2020,A,14MMS0640E,BGC,,,,132,,,,132,,,,0,100.00,,121.712
2020A 16 14MMS0615F BGC,16,2019-2020,2020,A,14MMS0615F,BGC,,,,1307,,,,400,,,,907,30.60,,160.215
2020A 17 14MMS0630Y BGC,17,2019-2020,2020,A,14MMS0630Y,BGC,,,,722,,,,360,,,,362,49.86,,146.428
2020A 18 14MMS0641D BGC,18,2019-2020,2020,A,14MMS0641D,BGC,,,,130,,,,90,,,,40,69.23,,136.841
2020A 19 14MMS0631X BGC,19,2019-2020,2020,A,14MMS0631X,BGC,,,,776,,,,560,,,,216,72.16,,140.957
2020A 20 14MMS0636S BGC,20,2019-2020,2020,A,14MMS0636S,BGC,,,,412,,,,412,,,,0,100.00,,119.578
2020A 21 14MMS0752I BGC,21,2019-2020,2020,A,14MMS0752I,BGC,,,,644,,,,270,,,,374,41.93,,150
2020A 22 14MMS0752I 3000000001,22,2019-2020,2020,A,14MMS0752I,3000000001,,,,210,,,,90,,,,120,42.86,,144.69
2020A 23 14MMS0752I 3061300004,23,2019-2020,2020,A,14MMS0752I,3061300004,,,,159,,,,90,,,,69,56.60,,144.434
2020A 24 14MMS0753H BGC,24,2019-2020,2020,A,14MMS0753H,BGC,,,,832,,,,450,,,,382,54.09,,139.944
2020A 25 14MMS0757D BGC,25,2019-2020,2020,A,14MMS0757D,BGC,,,,715,,,,450,,,,265,62.94,,140.811
2020A 26 14MMS0756E BGC,26,2019-2020,2020,A,14MMS0756E,BGC,,,,721,,,,450,,,,271,62.41,,140.51
2020A 27 14MMS0844Z BGC,27,2019-2020,2020,A,14MMS0844Z,BGC,,,,355,,,,355,,,,0,100.00,,114.81
2020A 28 14MMS0776S 2071200002,28,2019-2020,2020,A,14MMS0776S,2071200002,,,,40,,,,40,,,,0,100.00,,128.306
2020A 29 14MMS0776S 2072400003,29,2019-2020,2020,A,14MMS0776S,2072400003,,,,0,,,,0,,,,0,0.00,,
2020A 30 14MMS0776S 2071100002,30,2019-2020,2020,A,14MMS0776S,2071100002,,,,107,,,,90,,,,17,84.11,,132.819
2020A 31 14MMS0776S 2071400003,31,2019-2020,2020,A,14MMS0776S,2071400003,,,,107,,,,90,,,,17,84.11,,138.491
2020A 32 14MMS0776S 3073200001,32,2019-2020,2020,A,14MMS0776S,3073200001,,,,34,,,,34,,,,0,100.00,,125.131
2020A 33 14MMS0776S 2072100002,33,2019-2020,2020,A,14MMS0776S,2072100002,,,,160,,,,90,,,,70,56.25,,144.706
2020A 34 14MMS0776S 2072300001,34,2019-2020,2020,A,14MMS0776S,2072300001,,,,0,,,,0,,,,0,0.00,,
2020A 35 14MMS0776S 3071700002,35,2019-2020,2020,A,14MMS0776S,3071700002,,,,0,,,,0,,,,0,0.00,,
2020A 36 14MMS0776S 2062200013,36,2019-2020,2020,A,14MMS0776S,2062200013,,,,194,,,,90,,,,104,46.39,,147.909
2020A 37 14MMS0799C 3041100005,37,2019-2020,2020,A,14MMS0799C,3041100005,,,,135,,,,80,,,,55,59.26,,145.04
2020A 38 14MMS0799C 2051200001,38,2019-2020,2020,A,14MMS0799C,2051200001,,,,149,,,,80,,,,69,53.69,,147.996
2020A 39 14MMS0799C 3042000001,39,2019-2020,2020,A,14MMS0799C,3042000001,,,,139,,,,139,,,,0,100.00,,119.265
2020A 40 14MMS0799C 2062200007,40,2019-2020,2020,A,14MMS0799C,2062200007,,,,179,,,,160,,,,19,89.39,,130.22
2020A 41 14MMS0799C 2072000001,41,2019-2020,2020,A,14MMS0799C,2072000001,,,,0,,,,0,,,,0,0.00,,
2020A 42 14MMS0799C 2071200011,42,2019-2020,2020,A,14MMS0799C,2071200011,,,,29,,,,29,,,,0,100.00,,126.855
2020A 43 14MMS0799C 2062100003,43,2019-2020,2020,A,14MMS0799C,2062100003,,,,0,,,,0,,,,0,0.00,,
2020A 44 14MMS0645Z BGC,44,2019-2020,2020,A,14MMS0645Z,BGC,,,,1058,,,,500,,,,558,47.26,,146.647
2020A 45 14MMS0645Z 3042100026,45,2019-2020,2020,A,14MMS0645Z,3042100026,,,,130,,,,45,,,,85,34.62,,151.985
2020A 46 14MMS0645Z 3021700001,46,2019-2020,2020,A,14MMS0645Z,3021700001,,,,100,,,,40,,,,60,40.00,,140.725
2020A 47 14MMS0623O BGC,47,2019-2020,2020,A,14MMS0623O,BGC,,,,1220,,,,540,,,,680,44.26,,147.177
2020A 48 14MMS0614G BGC,48,2019-2020,2020,A,14MMS0614G,BGC,,,,1150,,,,700,,,,450,60.87,,149.19
2020A 49 14MMS0614G 3101600003,49,2019-2020,2020,A,14MMS0614G,3101600003,,,,112,,,,112,,,,0,100.00,,127.686
2020A 50 14MMS0762P BGC,50,2019-2020,2020,A,14MMS0762P,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 51 14MMS0761Q BGC,51,2019-2020,2020,A,14MMS0761Q,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 52 14MMS0643B BGC,52,2019-2020,2020,A,14MMS0643B,BGC,,,,96,,,,96,,,,0,100.00,,120.48
2020A 53 14MMS0727J BGC,53,2019-2020,2020,A,14MMS0727J,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 54 14MMS0717C BGC,54,2019-2020,2020,A,14MMS0717C,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 55 14MMS0717C 3042000001,55,2019-2020,2020,A,14MMS0717C,3042000001,,,,0,,,,0,,,,0,0.00,,
2020A 56 14MMS0717C 3101600003,56,2019-2020,2020,A,14MMS0717C,3101600003,,,,0,,,,0,,,,0,0.00,,
2020A 57 14MMS0718B BGC,57,2019-2020,2020,A,14MMS0718B,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 58 14MMS0718B 3042000001,58,2019-2020,2020,A,14MMS0718B,3042000001,,,,0,,,,0,,,,0,0.00,,
2020A 59 14MMS0718B 3101600003,59,2019-2020,2020,A,14MMS0718B,3101600003,,,,0,,,,0,,,,0,0.00,,
2020A 60 14MMS0741C BGC,60,2019-2020,2020,A,14MMS0741C,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 61 14MMS0617D BGC,61,2019-2020,2020,A,14MMS0617D,BGC,,,,113,,,,113,,,,0,100.00,,121.6
2020A 62 14MMS0662Q BGC,62,2019-2020,2020,A,14MMS0662Q,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 63 14MMS0663P BGC,63,2019-2020,2020,A,14MMS0663P,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 64 14MMS0664O BGC,64,2019-2020,2020,A,14MMS0664O,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 65 14MMS0665N BGC,65,2019-2020,2020,A,14MMS0665N,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 66 14MMS0619B BGC,66,2019-2020,2020,A,14MMS0619B,BGC,,,,222,,,,222,,,,0,100.00,,118.92
2020A 67 14MMS0666M BGC,67,2019-2020,2020,A,14MMS0666M,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 68 14MMS0667L BGC,68,2019-2020,2020,A,14MMS0667L,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 69 14MMS0728I BGC,69,2019-2020,2020,A,14MMS0728I,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 70 14MMS0618C BGC,70,2019-2020,2020,A,14MMS0618C,BGC,,,,203,,,,203,,,,0,100.00,,114.715
2020A 71 14MMS0668K BGC,71,2019-2020,2020,A,14MMS0668K,BGC,,,,96,,,,90,,,,6,93.75,,125.07
2020A 72 14MMS0747X BGC,72,2019-2020,2020,A,14MMS0747X,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 73 14MMS0750K BGC,73,2019-2020,2020,A,14MMS0750K,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 74 14MMS0621Q BGC,74,2019-2020,2020,A,14MMS0621Q,BGC,,,,370,,,,280,,,,90,75.68,,136.03
2020A 75 14MMS0622P BGC,75,2019-2020,2020,A,14MMS0622P,BGC,,,,0,,,,0,,,,0,0.00,,
2020A 76 14MMS0737Q BGC,76,2019-2020,2020,A,14MMS0737Q,BGC,,,,0,,,,0,,,,0,0.00,,
