name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2022A 1 14MMS0607X BGC,1,2021-2022,2022,A,14MMS0607X,BGC,,,,576,,,,513,,,,63,89.06,,73
2022A 2 14MMS0608W BGC,2,2021-2022,2022,A,14MMS0608W,BGC,,,,660,,,,660,,,,0,100.00,,63
2022A 3 14MMS0609V BGC,3,2021-2022,2022,A,14MMS0609V,BGC,,,,530,,,,405,,,,125,76.42,,76
2022A 4 14MMS0610K BGC,4,2021-2022,2022,A,14MMS0610K,BGC,,,,358,,,,358,,,,0,100.00,,64
2022A 5 14MMS0611J BGC,5,2021-2022,2022,A,14MMS0611J,BGC,,,,911,,,,514,,,,397,56.42,,85
2022A 6 14MMS0612I BGC,6,2021-2022,2022,A,14MMS0612I,BGC,,,,746,,,,746,,,,0,100.00,,65
2022A 7 14MMS0613H BGC,7,2021-2022,2022,A,14MMS0613H,BGC,,,,950,,,,950,,,,0,100.00,,65
2022A 8 14MMS0647Y BGC,8,2021-2022,2022,A,14MMS0647Y,BGC,,,,565,,,,565,,,,0,100.00,,62
2022A 9 14MMS0762P BGC,9,2021-2022,2022,A,14MMS0762P,BGC,,,,0,,,,0,,,,0,0.00,,0
2022A 10 14MMS0761Q BGC,10,2021-2022,2022,A,14MMS0761Q,BGC,,,,0,,,,0,,,,0,0.00,,0
2022A 11 14MMS0648X BGC,11,2021-2022,2022,A,14MMS0648X,BGC,,,,780,,,,780,,,,0,100.00,,63
2022A 12 14MMS0649W BGC,12,2021-2022,2022,A,14MMS0649W,BGC,,,,989,,,,814,,,,175,82.31,,74
2022A 13 14MMS0650L BGC,13,2021-2022,2022,A,14MMS0650L,BGC,,,,548,,,,548,,,,0,100.00,,65
2022A 14 14MMS0650L 3095300007,14,2021-2022,2022,A,14MMS0650L,3095300007,,,,89,,,,89,,,,0,100.00,,69
2022A 15 14MMS0650L 3093100005,15,2021-2022,2022,A,14MMS0650L,3093100005,,,,59,,,,59,,,,0,100.00,,65
2022A 16 14MMS0646Z BGC,16,2021-2022,2022,A,14MMS0646Z,BGC,,,,0,,,,0,,,,0,0.00,,0
2022A 17 14MMS0640E BGC,17,2021-2022,2022,A,14MMS0640E,BGC,,,,106,,,,106,,,,0,100.00,,66
2022A 18 14MMS0615F BGC,18,2021-2022,2022,A,14MMS0615F,BGC,,,,822,,,,494,,,,328,60.10,,80
2022A 19 14MMS0630Y BGC,19,2021-2022,2022,A,14MMS0630Y,BGC,,,,420,,,,420,,,,0,100.00,,64
2022A 20 14MMS0641D BGC,20,2021-2022,2022,A,14MMS0641D,BGC,,,,66,,,,66,,,,0,100.00,,67
2022A 21 14MMS0631X BGC,21,2021-2022,2022,A,14MMS0631X,BGC,,,,350,,,,350,,,,0,100.00,,63
2022A 22 14MMS0636S BGC,22,2021-2022,2022,A,14MMS0636S,BGC,,,,60,,,,60,,,,0,100.00,,62
2022A 23 14MMS0752I BGC,23,2021-2022,2022,A,14MMS0752I,BGC,,,,487,,,,321,,,,166,65.91,,79
2022A 24 14MMS0752I 3061300004,24,2021-2022,2022,A,14MMS0752I,3061300004,,,,124,,,,124,,,,0,100.00,,64
2022A 25 14MMS0752I 3000000001,25,2021-2022,2022,A,14MMS0752I,3000000001,,,,71,,,,71,,,,0,100.00,,66
2022A 26 14MMS0753H BGC,26,2021-2022,2022,A,14MMS0753H,BGC,,,,434,,,,434,,,,0,100.00,,63
2022A 27 14MMS0757D BGC,27,2021-2022,2022,A,14MMS0757D,BGC,,,,371,,,,371,,,,0,100.00,,66
2022A 28 14MMS0756E BGC,28,2021-2022,2022,A,14MMS0756E,BGC,,,,336,,,,336,,,,0,100.00,,64
2022A 29 14MMS0878P BGC,29,2021-2022,2022,A,14MMS0878P,BGC,,,,0,,,,0,,,,0,0.00,,0
2022A 30 14MMS0844Z BGC,30,2021-2022,2022,A,14MMS0844Z,BGC,,,,96,,,,96,,,,0,100.00,,64
2022A 31 14MMS0776S 3073200001,31,2021-2022,2022,A,14MMS0776S,3073200001,,,,59,,,,59,,,,0,100.00,,68
2022A 32 14MMS0776S 3071700002,32,2021-2022,2022,A,14MMS0776S,3071700002,,,,0,,,,0,,,,0,0.00,,0
2022A 33 14MMS0776S 2071200002,33,2021-2022,2022,A,14MMS0776S,2071200002,,,,0,,,,0,,,,0,0.00,,0
2022A 34 14MMS0776S 2071100002,34,2021-2022,2022,A,14MMS0776S,2071100002,,,,0,,,,0,,,,0,0.00,,0
2022A 35 14MMS0776S 2072400003,35,2021-2022,2022,A,14MMS0776S,2072400003,,,,0,,,,0,,,,0,0.00,,0
2022A 36 14MMS0776S 2072300001,36,2021-2022,2022,A,14MMS0776S,2072300001,,,,0,,,,0,,,,0,0.00,,0
2022A 37 14MMS0776S 2071400003,37,2021-2022,2022,A,14MMS0776S,2071400003,,,,0,,,,0,,,,0,0.00,,0
2022A 38 14MMS0776S 2062200013,38,2021-2022,2022,A,14MMS0776S,2062200013,,,,107,,,,107,,,,0,100.00,,65
2022A 39 14MMS0776S 2072100002,39,2021-2022,2022,A,14MMS0776S,2072100002,,,,0,,,,0,,,,0,0.00,,0
2022A 40 14MMS0799C 3042000001,40,2021-2022,2022,A,14MMS0799C,3042000001,,,,69,,,,69,,,,0,100.00,,64
2022A 41 14MMS0799C 3041100005,41,2021-2022,2022,A,14MMS0799C,3041100005,,,,29,,,,29,,,,0,100.00,,68
2022A 42 14MMS0799C 2051200001,42,2021-2022,2022,A,14MMS0799C,2051200001,,,,56,,,,56,,,,0,100.00,,67
2022A 43 14MMS0799C 2071200011,43,2021-2022,2022,A,14MMS0799C,2071200011,,,,22,,,,22,,,,0,100.00,,66
2022A 44 14MMS0799C 2062200007,44,2021-2022,2022,A,14MMS0799C,2062200007,,,,100,,,,100,,,,0,100.00,,65
2022A 45 14MMS0799C 2072000001,45,2021-2022,2022,A,14MMS0799C,2072000001,,,,27,,,,27,,,,0,100.00,,68
2022A 46 14MMS0799C 2062100003,46,2021-2022,2022,A,14MMS0799C,2062100003,,,,23,,,,23,,,,0,100.00,,67
2022A 47 14MMS0645Z BGC,47,2021-2022,2022,A,14MMS0645Z,BGC,,,,776,,,,590,,,,186,76.03,,76
2022A 48 14MMS0645Z 3042100026,48,2021-2022,2022,A,14MMS0645Z,3042100026,,,,120,,,,120,,,,0,100.00,,65
2022A 49 14MMS0645Z 3021700001,49,2021-2022,2022,A,14MMS0645Z,3021700001,,,,0,,,,0,,,,0,0.00,,0
2022A 50 14MMS0623O BGC,50,2021-2022,2022,A,14MMS0623O,BGC,,,,675,,,,603,,,,72,89.33,,73
2022A 51 14MMS0614G BGC,51,2021-2022,2022,A,14MMS0614G,BGC,,,,855,,,,855,,,,0,100.00,,65
2022A 52 14MMS0614G 3101600003,52,2021-2022,2022,A,14MMS0614G,3101600003,,,,0,,,,0,,,,0,0.00,,0
2022A 53 14MMS0643B BGC,53,2021-2022,2022,A,14MMS0643B,BGC,,,,81,,,,81,,,,0,100.00,,70
2022A 54 14MMS0727J BGC,54,2021-2022,2022,A,14MMS0727J,BGC,,,,0,,,,0,,,,0,0.00,,0
