name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2023A 1 14MMS0607X BGC,1,2022-2023,2023,A,14MMS0607X,BGC,,,,700,,,,450,,,,250,64.29,,140.883
2023A 2 14MMS0608W BGC,2,2022-2023,2023,A,14MMS0608W,BGC,,,,1009,,,,630,,,,379,62.44,,137.474
2023A 3 14MMS0609V BGC,3,2022-2023,2023,A,14MMS0609V,BGC,,,,554,,,,480,,,,74,86.64,,132.12
2023A 4 14MMS0610K BGC,4,2022-2023,2023,A,14MMS0610K,BGC,,,,386,,,,386,,,,0,100.00,,118.735
2023A 5 14MMS0611J BGC,5,2022-2023,2023,A,14MMS0611J,BGC,,,,933,,,,450,,,,483,48.23,,156.265
2023A 6 14MMS0612I BGC,6,2022-2023,2023,A,14MMS0612I,BGC,,,,993,,,,900,,,,93,90.63,,125.326
2023A 7 14MMS0613H BGC,7,2022-2023,2023,A,14MMS0613H,BGC,,,,1056,,,,1000,,,,56,94.70,,126.014
2023A 8 14MMS0647Y BGC,8,2022-2023,2023,A,14MMS0647Y,BGC,,,,883,,,,600,,,,283,67.95,,133.567
2023A 9 14MMS0762P BGC,9,2022-2023,2023,A,14MMS0762P,BGC,,,,0,,,,0,,,,0,0.00,,0
2023A 10 14MMS0761Q BGC,10,2022-2023,2023,A,14MMS0761Q,BGC,,,,0,,,,0,,,,0,0.00,,0
2023A 11 14MMS0648X BGC,11,2022-2023,2023,A,14MMS0648X,BGC,,,,998,,,,600,,,,398,60.12,,145.34
2023A 12 14MMS0649W BGC,12,2022-2023,2023,A,14MMS0649W,BGC,,,,1060,,,,800,,,,260,75.47,,137.578
2023A 13 14MMS0650L BGC,13,2022-2023,2023,A,14MMS0650L,BGC,,,,811,,,,541,,,,270,66.71,,139.01
2023A 14 14MMS0650L 3095300007,14,2022-2023,2023,A,14MMS0650L,3095300007,,,,123,,,,80,,,,43,65.04,,145.414
2023A 15 14MMS0650L 3093100005,15,2022-2023,2023,A,14MMS0650L,3093100005,,,,79,,,,79,,,,0,100.00,,118.447
2023A 16 14MMS0646Z BGC,16,2022-2023,2023,A,14MMS0646Z,BGC,,,,99,,,,99,,,,0,100.00,,114.866
2023A 17 14MMS0640E BGC,17,2022-2023,2023,A,14MMS0640E,BGC,,,,147,,,,147,,,,0,100.00,,115.653
2023A 18 14MMS0615F BGC,18,2022-2023,2023,A,14MMS0615F,BGC,,,,1188,,,,450,,,,738,37.88,,149.976
2023A 19 14MMS0630Y BGC,19,2022-2023,2023,A,14MMS0630Y,BGC,,,,536,,,,360,,,,176,67.16,,134.993
2023A 20 14MMS0641D BGC,20,2022-2023,2023,A,14MMS0641D,BGC,,,,90,,,,90,,,,0,100.00,,115.254
2023A 21 14MMS0631X BGC,21,2022-2023,2023,A,14MMS0631X,BGC,,,,579,,,,579,,,,0,100.00,,117.172
2023A 22 14MMS0636S BGC,22,2022-2023,2023,A,14MMS0636S,BGC,,,,488,,,,488,,,,0,100.00,,113.464
