name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
13 Admisión 2024A 1 14MMS0607X BGC,1,2024-2025,2024,B,14MMS0607X,BGC,,,,1002,,,,451,,,,551,45.00998004,,154.837
13 Admisión 2024A 2 14MMS0608W BGC,2,2024-2025,2024,B,14MMS0608W,BGC,,,,1542,,,,630,,,,912,40.85603113,,151.641
13 Admisión 2024A 3 14MMS0609V BGC,3,2024-2025,2024,B,14MMS0609V,BGC,,,,1147,,,,480,,,,667,41.84829991,,156.121
13 Admisión 2024A 4 14MMS0610K BGC,4,2024-2025,2024,B,14MMS0610K,BGC,,,,772,,,,400,,,,372,51.8134715,,152.004
13 Admisión 2024A 5 14MMS0611J BGC,5,2024-2025,2024,B,14MMS0611J,BGC,,,,1346,,,,450,,,,896,33.43239227,,168.71
13 Admisión 2024A 6 14MMS0612I BGC,6,2024-2025,2024,B,14MMS0612I,BGC,,,,1856,,,,1000,,,,856,53.87931034,,144.681
13 Admisión 2024A 7 14MMS0613H BGC,7,2024-2025,2024,B,14MMS0613H,BGC,,,,2004,,,,1000,,,,1004,49.9001996,,149.363
13 Admisión 2024A 8 14MMS0647Y BGC,8,2024-2025,2024,B,14MMS0647Y,BGC,,,,1362,,,,600,,,,762,44.05286344,,148.764
13 Admisión 2024A 9 14MMS0762P BGC,9,2024-2025,2024,B,14MMS0762P,BGC,,,,91,,,,91,,,,0,100,,123.617
13 Admisión 2024A 10 14MMS0761Q BGC,10,2024-2025,2024,B,14MMS0761Q,BGC,,,,108,,,,108,,,,0,100,,116.628
13 Admisión 2024A 11 14MMS0648X BGC,11,2024-2025,2024,B,14MMS0648X,BGC,,,,1596,,,,600,,,,996,37.59398496,,161.629
13 Admisión 2024A 12 14MMS0649W BGC,12,2024-2025,2024,B,14MMS0649W,BGC,,,,1876,,,,720,,,,1156,38.37953092,,158.836
13 Admisión 2024A 13 14MMS0650L 3093100005,13,2024-2025,2024,B,14MMS0650L,3093100005,,,,177,,,,70,,,,107,39.5480226,,157.425
13 Admisión 2024A 14 14MMS0650L 3095300007,14,2024-2025,2024,B,14MMS0650L,3095300007,,,,140,,,,70,,,,70,50,,157.734
13 Admisión 2024A 15 14MMS0650L BGC,15,2024-2025,2024,B,14MMS0650L,BGC,,,,1235,,,,540,,,,695,43.72469636,,156.057
13 Admisión 2024A 16 14MMS0646Z BGC,16,2024-2025,2024,B,14MMS0646Z,BGC,,,,1046,,,,1046,,,,0,100,,110.249
13 Admisión 2024A 17 14MMS0615F BGC,17,2024-2025,2024,B,14MMS0615F,BGC,,,,1657,,,,450,,,,1207,27.15751358,,160.138
13 Admisión 2024A 18 14MMS0630Y BGC,18,2024-2025,2024,B,14MMS0630Y,BGC,,,,921,,,,360,,,,561,39.08794788,,152.735
13 Admisión 2024A 19 14MMS0641D BGC,19,2024-2025,2024,B,14MMS0641D,BGC,,,,171,,,,90,,,,81,52.63157895,,141.752
13 Admisión 2024A 20 14MMS0631X BGC,20,2024-2025,2024,B,14MMS0631X,BGC,,,,1245,,,,600,,,,645,48.19277108,,150.995
13 Admisión 2024A 21 14MMS0636S BGC,21,2024-2025,2024,B,14MMS0636S,BGC,,,,950,,,,540,,,,410,56.84210526,,138.519
13 Admisión 2024A 22 14MMS0752I 3061300004,22,2024-2025,2024,B,14MMS0752I,3061300004,,,,305,,,,110,,,,195,36.06557377,,152.73
13 Admisión 2024A 23 14MMS0752I 3073200001,23,2024-2025,2024,B,14MMS0752I,3073200001,,,,364,,,,110,,,,254,30.21978022,,150.776
13 Admisión 2024A 24 14MMS0752I BGC,24,2024-2025,2024,B,14MMS0752I,BGC,,,,1068,,,,550,,,,518,51.49812734,,147.24
