name,row,anio,entidad_universitaria,pesos_corrientes
b11 Presupuesto inicial de la Red -1 - 2018 - CUCEA,1,2018,CUCEA,561956295
b11 Presupuesto inicial de la Red -2 - 2018 - CUCEI,2,2018,CUCEI,603753165
b11 Presupuesto inicial de la Red -3 - 2018 - CUCSH,3,2018,CUCSH,713033986
b11 Presupuesto inicial de la Red -4 - 2018 - CUCS,4,2018,CUCS,803698133
b11 Presupuesto inicial de la Red -5 - 2018 - CUAAD,5,2018,CUAAD,317149616
b11 Presupuesto inicial de la Red -6 - 2018 - CUCBA,6,2018,CUCBA,371393840
b11 Presupuesto inicial de la Red -7 - 2018 - CUALTOS,7,2018,CUALTOS,145785607
b11 Presupuesto inicial de la Red -8 - 2018 - CUCIÉNEGA,8,2018,CUCIÉNEGA,226517897
b11 Presupuesto inicial de la Red -9 - 2018 - CUSUR,9,2018,CUSUR,231755676
b11 Presupuesto inicial de la Red -10 - 2018 - CUCOSTA,10,2018,CUCOSTA,222430961
b11 Presupuesto inicial de la Red -11 - 2018 - CUCOSTASUR,11,2018,CUCOSTASUR,199145834
b11 Presupuesto inicial de la Red -12 - 2018 - CUVALLES,12,2018,CUVALLES,148891614
b11 Presupuesto inicial de la Red -13 - 2018 - CUNORTE,13,2018,CUNORTE,131712910
b11 Presupuesto inicial de la Red -14 - 2018 - CULAGOS,14,2018,CULAGOS,112796295
b11 Presupuesto inicial de la Red -15 - 2018 - CUTONALÁ,15,2018,CUTONALÁ,208164525
b11 Presupuesto inicial de la Red -16 - 2018 - CUTLAJOMULCO,16,2018,CUTLAJOMULCO,
b11 Presupuesto inicial de la Red -17 - 2018 - SUV,17,2018,SUV,191940865
b11 Presupuesto inicial de la Red -18 - 2018 - SEMS,18,2018,SEMS,2589520949
b11 Presupuesto inicial de la Red -19 - 2019 - CUCEA,19,2019,CUCEA,593781440
b11 Presupuesto inicial de la Red -20 - 2019 - CUCEI,20,2019,CUCEI,647015891
b11 Presupuesto inicial de la Red -21 - 2019 - CUCSH,21,2019,CUCSH,686700685
b11 Presupuesto inicial de la Red -22 - 2019 - CUCS,22,2019,CUCS,839164529
b11 Presupuesto inicial de la Red -23 - 2019 - CUAAD,23,2019,CUAAD,338198373
b11 Presupuesto inicial de la Red -24 - 2019 - CUCBA,24,2019,CUCBA,392477168
b11 Presupuesto inicial de la Red -25 - 2019 - CUALTOS,25,2019,CUALTOS,162821567
b11 Presupuesto inicial de la Red -26 - 2019 - CUCIÉNEGA,26,2019,CUCIÉNEGA,243050126
b11 Presupuesto inicial de la Red -27 - 2019 - CUSUR,27,2019,CUSUR,260941237
b11 Presupuesto inicial de la Red -28 - 2019 - CUCOSTA,28,2019,CUCOSTA,238697648
b11 Presupuesto inicial de la Red -29 - 2019 - CUCOSTASUR,29,2019,CUCOSTASUR,221951365
b11 Presupuesto inicial de la Red -30 - 2019 - CUVALLES,30,2019,CUVALLES,172171397
b11 Presupuesto inicial de la Red -31 - 2019 - CUNORTE,31,2019,CUNORTE,148209691
b11 Presupuesto inicial de la Red -32 - 2019 - CULAGOS,32,2019,CULAGOS,122147089
b11 Presupuesto inicial de la Red -33 - 2019 - CUTONALÁ,33,2019,CUTONALÁ,218243714
b11 Presupuesto inicial de la Red -34 - 2019 - CUTLAJOMULCO,34,2019,CUTLAJOMULCO,
b11 Presupuesto inicial de la Red -35 - 2019 - SUV,35,2019,SUV,202296347
b11 Presupuesto inicial de la Red -36 - 2019 - SEMS,36,2019,SEMS,2717249953
b11 Presupuesto inicial de la Red -37 - 2020 - CUCEA,37,2020,CUCEA,611172194
b11 Presupuesto inicial de la Red -38 - 2020 - CUCEI,38,2020,CUCEI,646793651
b11 Presupuesto inicial de la Red -39 - 2020 - CUCSH,39,2020,CUCSH,707379732
b11 Presupuesto inicial de la Red -40 - 2020 - CUCS,40,2020,CUCS,859809194
b11 Presupuesto inicial de la Red -41 - 2020 - CUAAD,41,2020,CUAAD,351413196
b11 Presupuesto inicial de la Red -42 - 2020 - CUCBA,42,2020,CUCBA,391627782
b11 Presupuesto inicial de la Red -43 - 2020 - CUALTOS,43,2020,CUALTOS,158616417
b11 Presupuesto inicial de la Red -44 - 2020 - CUCIÉNEGA,44,2020,CUCIÉNEGA,246133426
b11 Presupuesto inicial de la Red -45 - 2020 - CUSUR,45,2020,CUSUR,273724043
b11 Presupuesto inicial de la Red -46 - 2020 - CUCOSTA,46,2020,CUCOSTA,240916057
b11 Presupuesto inicial de la Red -47 - 2020 - CUCOSTASUR,47,2020,CUCOSTASUR,225975088
b11 Presupuesto inicial de la Red -48 - 2020 - CUVALLES,48,2020,CUVALLES,166834137
b11 Presupuesto inicial de la Red -49 - 2020 - CUNORTE,49,2020,CUNORTE,143705540
b11 Presupuesto inicial de la Red -50 - 2020 - CULAGOS,50,2020,CULAGOS,126034915
b11 Presupuesto inicial de la Red -51 - 2020 - CUTONALÁ,51,2020,CUTONALÁ,229720173
b11 Presupuesto inicial de la Red -52 - 2020 - CUTLAJOMULCO,52,2020,CUTLAJOMULCO,
b11 Presupuesto inicial de la Red -53 - 2020 - SUV,53,2020,SUV,214078924
b11 Presupuesto inicial de la Red -54 - 2020 - SEMS,54,2020,SEMS,2785265305
b11 Presupuesto inicial de la Red -55 - 2021 - CUCEA,55,2021,CUCEA,633700218
b11 Presupuesto inicial de la Red -56 - 2021 - CUCEI,56,2021,CUCEI,660037912
b11 Presupuesto inicial de la Red -57 - 2021 - CUCSH,57,2021,CUCSH,726805669
b11 Presupuesto inicial de la Red -58 - 2021 - CUCS,58,2021,CUCS,856475258
b11 Presupuesto inicial de la Red -59 - 2021 - CUAAD,59,2021,CUAAD,356239574
b11 Presupuesto inicial de la Red -60 - 2021 - CUCBA,60,2021,CUCBA,394913461
b11 Presupuesto inicial de la Red -61 - 2021 - CUALTOS,61,2021,CUALTOS,169814296
b11 Presupuesto inicial de la Red -62 - 2021 - CUCIÉNEGA,62,2021,CUCIÉNEGA,254169022
b11 Presupuesto inicial de la Red -63 - 2021 - CUSUR,63,2021,CUSUR,271429108
b11 Presupuesto inicial de la Red -64 - 2021 - CUCOSTA,64,2021,CUCOSTA,247050880
b11 Presupuesto inicial de la Red -65 - 2021 - CUCOSTASUR,65,2021,CUCOSTASUR,240593524
b11 Presupuesto inicial de la Red -66 - 2021 - CUVALLES,66,2021,CUVALLES,183376304
b11 Presupuesto inicial de la Red -67 - 2021 - CUNORTE,67,2021,CUNORTE,155875833
b11 Presupuesto inicial de la Red -68 - 2021 - CULAGOS,68,2021,CULAGOS,129884305
b11 Presupuesto inicial de la Red -69 - 2021 - CUTONALÁ,69,2021,CUTONALÁ,250345154
b11 Presupuesto inicial de la Red -70 - 2021 - CUTLAJOMULCO,70,2021,CUTLAJOMULCO,
b11 Presupuesto inicial de la Red -71 - 2021 - SUV,71,2021,SUV,210045516
b11 Presupuesto inicial de la Red -72 - 2021 - SEMS,72,2021,SEMS,2815286038
b11 Presupuesto inicial de la Red -73 - 2022 - CUCEA,73,2022,CUCEA,646334116
b11 Presupuesto inicial de la Red -74 - 2022 - CUCEI,74,2022,CUCEI,698015018
b11 Presupuesto inicial de la Red -75 - 2022 - CUCSH,75,2022,CUCSH,727115392
b11 Presupuesto inicial de la Red -76 - 2022 - CUCS,76,2022,CUCS,897748541
b11 Presupuesto inicial de la Red -77 - 2022 - CUAAD,77,2022,CUAAD,368443516
b11 Presupuesto inicial de la Red -78 - 2022 - CUCBA,78,2022,CUCBA,401549781
b11 Presupuesto inicial de la Red -79 - 2022 - CUALTOS,79,2022,CUALTOS,182278242
b11 Presupuesto inicial de la Red -80 - 2022 - CUCIÉNEGA,80,2022,CUCIÉNEGA,257195372
b11 Presupuesto inicial de la Red -81 - 2022 - CUSUR,81,2022,CUSUR,276829067
b11 Presupuesto inicial de la Red -82 - 2022 - CUCOSTA,82,2022,CUCOSTA,262130512
b11 Presupuesto inicial de la Red -83 - 2022 - CUCOSTASUR,83,2022,CUCOSTASUR,250651312
b11 Presupuesto inicial de la Red -84 - 2022 - CUVALLES,84,2022,CUVALLES,188796015
b11 Presupuesto inicial de la Red -85 - 2022 - CUNORTE,85,2022,CUNORTE,154629669
b11 Presupuesto inicial de la Red -86 - 2022 - CULAGOS,86,2022,CULAGOS,131261620
b11 Presupuesto inicial de la Red -87 - 2022 - CUTONALÁ,87,2022,CUTONALÁ,271071658
b11 Presupuesto inicial de la Red -88 - 2022 - CUTLAJOMULCO,88,2022,CUTLAJOMULCO,24639823
b11 Presupuesto inicial de la Red -89 - 2022 - SUV,89,2022,SUV,252724292
b11 Presupuesto inicial de la Red -90 - 2022 - SEMS,90,2022,SEMS,2887994447
b11 Presupuesto inicial de la Red -91 - 2023 - CUCEA,91,2023,CUCEA,698134673
b11 Presupuesto inicial de la Red -92 - 2023 - CUCEI,92,2023,CUCEI,719321434
b11 Presupuesto inicial de la Red -93 - 2023 - CUCSH,93,2023,CUCSH,739271471
b11 Presupuesto inicial de la Red -94 - 2023 - CUCS,94,2023,CUCS,920792004
b11 Presupuesto inicial de la Red -95 - 2023 - CUAAD,95,2023,CUAAD,387333876
b11 Presupuesto inicial de la Red -96 - 2023 - CUCBA,96,2023,CUCBA,412988006
b11 Presupuesto inicial de la Red -97 - 2023 - CUALTOS,97,2023,CUALTOS,184558834
b11 Presupuesto inicial de la Red -98 - 2023 - CUCIÉNEGA,98,2023,CUCIÉNEGA,270207871
b11 Presupuesto inicial de la Red -99 - 2023 - CUSUR,99,2023,CUSUR,286927110
b11 Presupuesto inicial de la Red -100 - 2023 - CUCOSTA,100,2023,CUCOSTA,268809227
b11 Presupuesto inicial de la Red -101 - 2023 - CUCOSTASUR,101,2023,CUCOSTASUR,260934208
b11 Presupuesto inicial de la Red -102 - 2023 - CUVALLES,102,2023,CUVALLES,195075785
b11 Presupuesto inicial de la Red -103 - 2023 - CUNORTE,103,2023,CUNORTE,156849303
b11 Presupuesto inicial de la Red -104 - 2023 - CULAGOS,104,2023,CULAGOS,138024022
b11 Presupuesto inicial de la Red -105 - 2023 - CUTONALÁ,105,2023,CUTONALÁ,276874520
b11 Presupuesto inicial de la Red -106 - 2023 - CUTLAJOMULCO,106,2023,CUTLAJOMULCO,63497297
b11 Presupuesto inicial de la Red -107 - 2023 - SUV,107,2023,SUV,253443612
b11 Presupuesto inicial de la Red -108 - 2023 - SEMS,108,2023,SEMS,3257314875
b11 Presupuesto inicial de la Red -109 - 2024 - CUCEA,109,2024,CUCEA,722945172
b11 Presupuesto inicial de la Red -110 - 2024 - CUCEI,110,2024,CUCEI,767315687
b11 Presupuesto inicial de la Red -111 - 2024 - CUCSH,111,2024,CUCSH,778628709
b11 Presupuesto inicial de la Red -112 - 2024 - CUCS,112,2024,CUCS,939369568
b11 Presupuesto inicial de la Red -113 - 2024 - CUAAD,113,2024,CUAAD,414438834
b11 Presupuesto inicial de la Red -114 - 2024 - CUCBA,114,2024,CUCBA,429578868
b11 Presupuesto inicial de la Red -115 - 2024 - CUALTOS,115,2024,CUALTOS,211215234
b11 Presupuesto inicial de la Red -116 - 2024 - CUCIÉNEGA,116,2024,CUCIÉNEGA,286886146
b11 Presupuesto inicial de la Red -117 - 2024 - CUSUR,117,2024,CUSUR,310365477
b11 Presupuesto inicial de la Red -118 - 2024 - CUCOSTA,118,2024,CUCOSTA,296803748
b11 Presupuesto inicial de la Red -119 - 2024 - CUCOSTASUR,119,2024,CUCOSTASUR,274993170
b11 Presupuesto inicial de la Red -120 - 2024 - CUVALLES,120,2024,CUVALLES,224189983
b11 Presupuesto inicial de la Red -121 - 2024 - CUNORTE,121,2024,CUNORTE,171789575
b11 Presupuesto inicial de la Red -122 - 2024 - CULAGOS,122,2024,CULAGOS,151135913
b11 Presupuesto inicial de la Red -123 - 2024 - CUTONALÁ,123,2024,CUTONALÁ,312832950
b11 Presupuesto inicial de la Red -124 - 2024 - CUTLAJOMULCO,124,2024,CUTLAJOMULCO,89284315
b11 Presupuesto inicial de la Red -125 - 2024 - CUGUADALAJARA,125,2024,CUGUADALAJARA,1000000
b11 Presupuesto inicial de la Red -126 - 2024 - CUCHAPALA,126,2024,CUCHAPALA,1000000
b11 Presupuesto inicial de la Red -127 - 2024 - CUTLAQUEPAQUE,127,2024,CUTLAQUEPAQUE,1000000
b11 Presupuesto inicial de la Red -128 - 2024 - SUV,128,2024,SUV,247469301
b11 Presupuesto inicial de la Red -129 - 2024 - SEMS,129,2024,SEMS,3449120135
