name,row,anio,fuente_financiamiento,pesos_corrientes,por_total,
b12 Ingresos de la UdeG -1 - 2023 - Subsidio público federal,1,2023,Subsidio público federal,7321337468,45.11,
b12 Ingresos de la UdeG -2 - 2022 - Subsidio público federal,2,2022,Subsidio público federal,6757149901,45.29723055,
b12 Ingresos de la UdeG -3 - 2021 - Subsidio público federal,3,2021,Subsidio público federal,6531669418,45.2340269,
b12 Ingresos de la UdeG -4 - 2020 - Subsidio público federal,4,2020,Subsidio público federal,6373399500,45.15106706,
b12 Ingresos de la UdeG -5 - 2019 - Subsidio público federal,5,2019,Subsidio público federal,6208636175,44.57624242,
b12 Ingresos de la UdeG -6 - 2018 - Subsidio público federal,6,2018,Subsidio público federal,6079286042,45.75119508,
b12 Ingresos de la UdeG -7 - 2023 - Subsidio público estatal,7,2023,Subsidio público estatal,7012237440,43.20345866,
b12 Ingresos de la UdeG -8 - 2022 - Subsidio público estatal,8,2022,Subsidio público estatal,6663018143,44.66620889,
b12 Ingresos de la UdeG -9 - 2021 - Subsidio público estatal,9,2021,Subsidio público estatal,6661404120,46.13248373,
b12 Ingresos de la UdeG -10 - 2020 - Subsidio público estatal,10,2020,Subsidio público estatal,6427915666,45.53727588,
b12 Ingresos de la UdeG -11 - 2019 - Subsidio público estatal,11,2019,Subsidio público estatal,6100877236,43.80256388,
b12 Ingresos de la UdeG -12 - 2018 - Subsidio público estatal,12,2018,Subsidio público estatal,5553331316,41.79299059,
b12 Ingresos de la UdeG -13 - 2023 - Apoyo especial,13,2023,Apoyo especial,185200972.3,1.141051286,
b12 Ingresos de la UdeG -14 - 2022 - Apoyo especial,14,2022,Apoyo especial,119890379.6,0.803697157,
b12 Ingresos de la UdeG -15 - 2021 - Apoyo especial,15,2021,Apoyo especial,115078988.3,0.79696104,
b12 Ingresos de la UdeG -16 - 2020 - Apoyo especial,16,2020,Apoyo especial,189214498.2,1.340452061,
b12 Ingresos de la UdeG -17 - 2019 - Apoyo especial,17,2019,Apoyo especial,160363394.2,1.151363574,
b12 Ingresos de la UdeG -18 - 2018 - Apoyo especial,18,2018,Apoyo especial,199165299.8,1.498868522,
b12 Ingresos de la UdeG -19 - 2023 - Ingreso autogenerado,19,2023,Ingreso autogenerado,1711955773,10.54761923,
b12 Ingresos de la UdeG -20 - 2022 - Ingreso autogenerado,20,2022,Ingreso autogenerado,1377299258,9.2328634,
b12 Ingresos de la UdeG -21 - 2021 - Ingreso autogenerado,21,2021,Ingreso autogenerado,1131573198,7.836528337,
b12 Ingresos de la UdeG -22 - 2020 - Ingreso autogenerado,22,2020,Ingreso autogenerado,1125193208,7.971205004,
b12 Ingresos de la UdeG -23 - 2019 - Ingreso autogenerado,23,2019,Ingreso autogenerado,1458251360,10.46983014,
b12 Ingresos de la UdeG -24 - 2018 - Ingreso autogenerado,24,2018,Ingreso autogenerado,1455927165,10.95694581,
