name,row,anio,concepto_ingreso,pesos_corrientes
b14 Ingresos autogenerados de la UdeG -1 - 2018 - Productos financieros,1,2018,Productos financieros,295309007
b13 Subsidio público ordinario de la UdeG -2 - 2018 - Servicios escolares,2,2018,Servicios escolares,772389546
b13 Subsidio público ordinario de la UdeG -3 - 2018 - Matrículas,3,2018,Matrículas,274425936
b13 Subsidio público ordinario de la UdeG -4 - 2018 - Exámenes,4,2018,Exámenes,90247365
b13 Subsidio público ordinario de la UdeG -5 - 2018 - Expedición de títulos,5,2018,Expedición de títulos,43817327
b13 Subsidio público ordinario de la UdeG -6 - 2018 - Expedición de credenciales,6,2018,Expedición de credenciales,74921694
b13 Subsidio público ordinario de la UdeG -7 - 2018 - Aportaciones voluntarias,7,2018,Aportaciones voluntarias,16434836
b13 Subsidio público ordinario de la UdeG -8 - 2018 - Aportaciones especiales (extraordinarias),8,2018,Aportaciones especiales (extraordinarias),248306552
b13 Subsidio público ordinario de la UdeG -9 - 2018 - Certificaciones,9,2018,Certificaciones,23164124
b13 Subsidio público ordinario de la UdeG -10 - 2018 - Revalidaciones,10,2018,Revalidaciones,1071712
b13 Subsidio público ordinario de la UdeG -11 - 2018 - Servicios no escolares,11,2018,Servicios no escolares,305835568
b13 Subsidio público ordinario de la UdeG -12 - 2018 - Servicios,12,2018,Servicios,109358231
b13 Subsidio público ordinario de la UdeG -13 - 2018 - Arrendamientos,13,2018,Arrendamientos,22243131
b13 Subsidio público ordinario de la UdeG -14 - 2018 - Venta de formas,14,2018,Venta de formas,11097834
b13 Subsidio público ordinario de la UdeG -15 - 2018 - Servicios de apoyo técnico,15,2018,Servicios de apoyo técnico,148870324
b13 Subsidio público ordinario de la UdeG -16 - 2018 - Venta de productos,16,2018,Venta de productos,14266048
b13 Subsidio público ordinario de la UdeG -17 - 2018 - Incorporaciones,17,2018,Incorporaciones,62800538
b13 Subsidio público ordinario de la UdeG -18 - 2018 - Donativos,18,2018,Donativos,18536976
b13 Subsidio público ordinario de la UdeG -19 - 2018 - Entidades universitarias,19,2018,Entidades universitarias,1055530
b13 Subsidio público ordinario de la UdeG -20 - 2019 - Productos financieros,20,2019,Productos financieros,281864186
b13 Subsidio público ordinario de la UdeG -21 - 2019 - Servicios escolares,21,2019,Servicios escolares,798412383
b13 Subsidio público ordinario de la UdeG -22 - 2019 - Matrículas,22,2019,Matrículas,280582727
b13 Subsidio público ordinario de la UdeG -23 - 2019 - Exámenes,23,2019,Exámenes,92670368
b13 Subsidio público ordinario de la UdeG -24 - 2019 - Expedición de títulos,24,2019,Expedición de títulos,45729012
b13 Subsidio público ordinario de la UdeG -25 - 2019 - Expedición de credenciales,25,2019,Expedición de credenciales,76103306
b13 Subsidio público ordinario de la UdeG -26 - 2019 - Aportaciones voluntarias,26,2019,Aportaciones voluntarias,16927852
b13 Subsidio público ordinario de la UdeG -27 - 2019 - Aportaciones especiales (extraordinarias),27,2019,Aportaciones especiales (extraordinarias),259683959
b13 Subsidio público ordinario de la UdeG -28 - 2019 - Certificaciones,28,2019,Certificaciones,25329147
b13 Subsidio público ordinario de la UdeG -29 - 2019 - Revalidaciones,29,2019,Revalidaciones,1386013
b13 Subsidio público ordinario de la UdeG -30 - 2019 - Servicios no escolares,30,2019,Servicios no escolares,273914366
b13 Subsidio público ordinario de la UdeG -31 - 2019 - Servicios,31,2019,Servicios,105551651
b13 Subsidio público ordinario de la UdeG -32 - 2019 - Arrendamientos,32,2019,Arrendamientos,26441097
b13 Subsidio público ordinario de la UdeG -33 - 2019 - Venta de formas,33,2019,Venta de formas,14178576
b13 Subsidio público ordinario de la UdeG -34 - 2019 - Servicios de apoyo técnico,34,2019,Servicios de apoyo técnico,110927543
b13 Subsidio público ordinario de la UdeG -35 - 2019 - Venta de productos,35,2019,Venta de productos,16815500
b13 Subsidio público ordinario de la UdeG -36 - 2019 - Incorporaciones,36,2019,Incorporaciones,59634937
b13 Subsidio público ordinario de la UdeG -37 - 2019 - Donativos,37,2019,Donativos,23138211
b13 Subsidio público ordinario de la UdeG -38 - 2019 - Entidades universitarias,38,2019,Entidades universitarias,21287276
b13 Subsidio público ordinario de la UdeG -39 - 2020 - Productos financieros,39,2020,Productos financieros,196992726
b13 Subsidio público ordinario de la UdeG -40 - 2020 - Servicios escolares,40,2020,Servicios escolares,744720969
b13 Subsidio público ordinario de la UdeG -41 - 2020 - Matrículas,41,2020,Matrículas,257218243
b13 Subsidio público ordinario de la UdeG -42 - 2020 - Exámenes,42,2020,Exámenes,87590494
b13 Subsidio público ordinario de la UdeG -43 - 2020 - Expedición de títulos,43,2020,Expedición de títulos,34339255
b13 Subsidio público ordinario de la UdeG -44 - 2020 - Expedición de credenciales,44,2020,Expedición de credenciales,78279621
b13 Subsidio público ordinario de la UdeG -45 - 2020 - Aportaciones voluntarias,45,2020,Aportaciones voluntarias,17198139
b13 Subsidio público ordinario de la UdeG -46 - 2020 - Aportaciones especiales (extraordinarias),46,2020,Aportaciones especiales (extraordinarias),249082042
b13 Subsidio público ordinario de la UdeG -47 - 2020 - Certificaciones,47,2020,Certificaciones,19811890
b13 Subsidio público ordinario de la UdeG -48 - 2020 - Revalidaciones,48,2020,Revalidaciones,1201285
b13 Subsidio público ordinario de la UdeG -49 - 2020 - Servicios no escolares,49,2020,Servicios no escolares,84288352
b13 Subsidio público ordinario de la UdeG -50 - 2020 - Servicios,50,2020,Servicios,51082212
b13 Subsidio público ordinario de la UdeG -51 - 2020 - Arrendamientos,51,2020,Arrendamientos,11270510
b13 Subsidio público ordinario de la UdeG -52 - 2020 - Venta de formas,52,2020,Venta de formas,13238371
b13 Subsidio público ordinario de la UdeG -53 - 2020 - Servicios de apoyo técnico,53,2020,Servicios de apoyo técnico,1182675
b13 Subsidio público ordinario de la UdeG -54 - 2020 - Venta de productos,54,2020,Venta de productos,7514584
b13 Subsidio público ordinario de la UdeG -55 - 2020 - Incorporaciones,55,2020,Incorporaciones,62325449
b13 Subsidio público ordinario de la UdeG -56 - 2020 - Donativos,56,2020,Donativos,36351096
b13 Subsidio público ordinario de la UdeG -57 - 2020 - Entidades universitarias,57,2020,Entidades universitarias,514616
b13 Subsidio público ordinario de la UdeG -58 - 2021 - Productos financieros,58,2021,Productos financieros,119811386
b13 Subsidio público ordinario de la UdeG -59 - 2021 - Servicios escolares,59,2021,Servicios escolares,832085821
b13 Subsidio público ordinario de la UdeG -60 - 2021 - Matrículas,60,2021,Matrículas,285798937
b13 Subsidio público ordinario de la UdeG -61 - 2021 - Exámenes,61,2021,Exámenes,92087570
b13 Subsidio público ordinario de la UdeG -62 - 2021 - Expedición de títulos,62,2021,Expedición de títulos,51562705
b13 Subsidio público ordinario de la UdeG -63 - 2021 - Expedición de credenciales,63,2021,Expedición de credenciales,78542009
b13 Subsidio público ordinario de la UdeG -64 - 2021 - Aportaciones voluntarias,64,2021,Aportaciones voluntarias,20851280
b13 Subsidio público ordinario de la UdeG -65 - 2021 - Aportaciones especiales (extraordinarias),65,2021,Aportaciones especiales (extraordinarias),278316293
b13 Subsidio público ordinario de la UdeG -66 - 2021 - Certificaciones,66,2021,Certificaciones,23733702
b13 Subsidio público ordinario de la UdeG -67 - 2021 - Revalidaciones,67,2021,Revalidaciones,1193325
b13 Subsidio público ordinario de la UdeG -68 - 2021 - Servicios no escolares,68,2021,Servicios no escolares,95216100
b13 Subsidio público ordinario de la UdeG -69 - 2021 - Servicios,69,2021,Servicios,62039355
b13 Subsidio público ordinario de la UdeG -70 - 2021 - Arrendamientos,70,2021,Arrendamientos,11651691
b13 Subsidio público ordinario de la UdeG -71 - 2021 - Venta de formas,71,2021,Venta de formas,15481494
b13 Subsidio público ordinario de la UdeG -72 - 2021 - Servicios de apoyo técnico,72,2021,Servicios de apoyo técnico,1833669
b13 Subsidio público ordinario de la UdeG -73 - 2021 - Venta de productos,73,2021,Venta de productos,4209892
b13 Subsidio público ordinario de la UdeG -74 - 2021 - Incorporaciones,74,2021,Incorporaciones,53818144
b13 Subsidio público ordinario de la UdeG -75 - 2021 - Donativos,75,2021,Donativos,22278280
b13 Subsidio público ordinario de la UdeG -76 - 2021 - Entidades universitarias,76,2021,Entidades universitarias,8363466
b13 Subsidio público ordinario de la UdeG -77 - 2022 - Productos financieros,77,2022,Productos financieros,283311745
b13 Subsidio público ordinario de la UdeG -78 - 2022 - Servicios escolares,78,2022,Servicios escolares,902589273
b13 Subsidio público ordinario de la UdeG -79 - 2022 - Matrículas,79,2022,Matrículas,300567075
b13 Subsidio público ordinario de la UdeG -80 - 2022 - Exámenes,80,2022,Exámenes,106947821
b13 Subsidio público ordinario de la UdeG -81 - 2022 - Expedición de títulos,81,2022,Expedición de títulos,60169893
b13 Subsidio público ordinario de la UdeG -82 - 2022 - Expedición de credenciales,82,2022,Expedición de credenciales,88311411
b13 Subsidio público ordinario de la UdeG -83 - 2022 - Aportaciones voluntarias,83,2022,Aportaciones voluntarias,21259617
b13 Subsidio público ordinario de la UdeG -84 - 2022 - Aportaciones especiales (extraordinarias),84,2022,Aportaciones especiales (extraordinarias),298504614
b13 Subsidio público ordinario de la UdeG -85 - 2022 - Certificaciones,85,2022,Certificaciones,26034028
b13 Subsidio público ordinario de la UdeG -86 - 2022 - Revalidaciones,86,2022,Revalidaciones,794815
b13 Subsidio público ordinario de la UdeG -87 - 2022 - Servicios no escolares,87,2022,Servicios no escolares,138632660
b13 Subsidio público ordinario de la UdeG -88 - 2022 - Servicios,88,2022,Servicios,92631762
b13 Subsidio público ordinario de la UdeG -89 - 2022 - Arrendamientos,89,2022,Arrendamientos,22723674
b13 Subsidio público ordinario de la UdeG -90 - 2022 - Venta de formas,90,2022,Venta de formas,16038769
b13 Subsidio público ordinario de la UdeG -91 - 2022 - Servicios de apoyo técnico,91,2022,Servicios de apoyo técnico,957882
b13 Subsidio público ordinario de la UdeG -92 - 2022 - Venta de productos,92,2022,Venta de productos,6280573
b13 Subsidio público ordinario de la UdeG -93 - 2022 - Incorporaciones,93,2022,Incorporaciones,51749655
b13 Subsidio público ordinario de la UdeG -94 - 2022 - Donativos,94,2022,Donativos,533201
b13 Subsidio público ordinario de la UdeG -95 - 2022 - Entidades universitarias,95,2022,Entidades universitarias,482723
b13 Subsidio público ordinario de la UdeG -96 - 2023 - Productos financieros,96,2023,Productos financieros,471025152
b13 Subsidio público ordinario de la UdeG -97 - 2023 - Servicios escolares,97,2023,Servicios escolares,974021217
b13 Subsidio público ordinario de la UdeG -98 - 2023 - Matrículas,98,2023,Matrículas,305685873
b13 Subsidio público ordinario de la UdeG -99 - 2023 - Exámenes,99,2023,Exámenes,110239571
b13 Subsidio público ordinario de la UdeG -100 - 2023 - Expedición de títulos,100,2023,Expedición de títulos,82860836
b13 Subsidio público ordinario de la UdeG -101 - 2023 - Expedición de credenciales,101,2023,Expedición de credenciales,93353573
b13 Subsidio público ordinario de la UdeG -102 - 2023 - Aportaciones voluntarias,102,2023,Aportaciones voluntarias,21780759
b13 Subsidio público ordinario de la UdeG -103 - 2023 - Aportaciones especiales (extraordinarias),103,2023,Aportaciones especiales (extraordinarias),331015623
b13 Subsidio público ordinario de la UdeG -104 - 2023 - Certificaciones,104,2023,Certificaciones,28201938
b13 Subsidio público ordinario de la UdeG -105 - 2023 - Revalidaciones,105,2023,Revalidaciones,883045
b13 Subsidio público ordinario de la UdeG -106 - 2023 - Servicios no escolares,106,2023,Servicios no escolares,170316845
b13 Subsidio público ordinario de la UdeG -107 - 2023 - Servicios,107,2023,Servicios,115611858
b13 Subsidio público ordinario de la UdeG -108 - 2023 - Arrendamientos,108,2023,Arrendamientos,25037854
b13 Subsidio público ordinario de la UdeG -109 - 2023 - Venta de formas,109,2023,Venta de formas,17088649
b13 Subsidio público ordinario de la UdeG -110 - 2023 - Servicios de apoyo técnico,110,2023,Servicios de apoyo técnico,544532
b13 Subsidio público ordinario de la UdeG -111 - 2023 - Venta de productos,111,2023,Venta de productos,12033953
b13 Subsidio público ordinario de la UdeG -112 - 2023 - Incorporaciones,112,2023,Incorporaciones,53963963
b13 Subsidio público ordinario de la UdeG -113 - 2023 - Donativos,113,2023,Donativos,5411871
b13 Subsidio público ordinario de la UdeG -114 - 2023 - Entidades universitarias,114,2023,Entidades universitarias,37216725
