name,row,anio,concepto_ingreso,pesos_corrientes,
b14 Ingresos autogenerados de la UdeG -1 - 2018 - Productos financieros,1,2018,Productos financieros,295309007.5,
b13 Subsidio público ordinario de la UdeG -2 - 2018 - Servicios escolares,2,2018,Servicios escolares,772389545.8,
b13 Subsidio público ordinario de la UdeG -3 - 2018 - Matrículas,3,2018,Matrículas,274425935.8,
b13 Subsidio público ordinario de la UdeG -4 - 2018 - Exámenes,4,2018,Exámenes,90247364.56,
b13 Subsidio público ordinario de la UdeG -5 - 2018 - Expedición de títulos,5,2018,Expedición de títulos,43817326.7,
b13 Subsidio público ordinario de la UdeG -6 - 2018 - Expedición de credenciales,6,2018,Expedición de credenciales,74921693.95,
b13 Subsidio público ordinario de la UdeG -7 - 2018 - Aportaciones voluntarias,7,2018,Aportaciones voluntarias,16434836.46,
b13 Subsidio público ordinario de la UdeG -8 - 2018 - Aportaciones especiales (extraordinarias),8,2018,Aportaciones especiales (extraordinarias),248306552.1,
b13 Subsidio público ordinario de la UdeG -9 - 2018 - Certificaciones,9,2018,Certificaciones,23164124.19,
b13 Subsidio público ordinario de la UdeG -10 - 2018 - Revalidaciones,10,2018,Revalidaciones,1071712,
b13 Subsidio público ordinario de la UdeG -11 - 2018 - Servicios no escolares,11,2018,Servicios no escolares,305835567.6,
b13 Subsidio público ordinario de la UdeG -12 - 2018 - Servicios,12,2018,Servicios,109358231.2,
b13 Subsidio público ordinario de la UdeG -13 - 2018 - Arrendamientos,13,2018,Arrendamientos,22243130.9,
b13 Subsidio público ordinario de la UdeG -14 - 2018 - Venta de formas,14,2018,Venta de formas,11097833.74,
b13 Subsidio público ordinario de la UdeG -15 - 2018 - Servicios de apoyo técnico,15,2018,Servicios de apoyo técnico,148870324,
b13 Subsidio público ordinario de la UdeG -16 - 2018 - Venta de productos,16,2018,Venta de productos,14266047.75,
b13 Subsidio público ordinario de la UdeG -17 - 2018 - Incorporaciones,17,2018,Incorporaciones,62800538.44,
b13 Subsidio público ordinario de la UdeG -18 - 2018 - Donativos,18,2018,Donativos,18536976.03,
b13 Subsidio público ordinario de la UdeG -19 - 2018 - Entidades universitarias,19,2018,Entidades universitarias,1055529.66,
b13 Subsidio público ordinario de la UdeG -20 - 2019 - Productos financieros,20,2019,Productos financieros,281864186.2,
b13 Subsidio público ordinario de la UdeG -21 - 2019 - Servicios escolares,21,2019,Servicios escolares,798412383.4,
b13 Subsidio público ordinario de la UdeG -22 - 2019 - Matrículas,22,2019,Matrículas,280582727.1,
b13 Subsidio público ordinario de la UdeG -23 - 2019 - Exámenes,23,2019,Exámenes,92670367.59,
b13 Subsidio público ordinario de la UdeG -24 - 2019 - Expedición de títulos,24,2019,Expedición de títulos,45729011.55,
b13 Subsidio público ordinario de la UdeG -25 - 2019 - Expedición de credenciales,25,2019,Expedición de credenciales,76103305.53,
b13 Subsidio público ordinario de la UdeG -26 - 2019 - Aportaciones voluntarias,26,2019,Aportaciones voluntarias,16927851.97,
