name,row,anio,base_de_datos,suscripcion,tipo_bd
2023 1 ABI/INFORM Collection - ProQuest,1,2023,ABI/INFORM Collection - ProQuest,UDG,RTC
2023 2 Academic Vídeo OnLine (AVON) - ProQuest,2,2023,Academic Vídeo OnLine (AVON) - ProQuest,UDG,RTC
2023 3 3D4 Medical Complete Anatomy - Elsevier,3,2023,3D4 Medical Complete Anatomy - Elsevier,UDG,RTC
2023 4 Americas Journal Package (Springer Journals Americas) - Springer,4,2023,Americas Journal Package (Springer Journals Americas) - Springer,UDG,RTC
2023 5 APS Journals (10 revistas) - American Physical Society,5,2023,APS Journals (10 revistas) - American Physical Society,UDG,RTC
2023 6 Art & Architecture Source - EBSCO,6,2023,Art & Architecture Source - EBSCO,UDG,RTC
2023 7 ASCE - American Society of Civil Engineers,7,2023,ASCE - American Society of Civil Engineers,UDG,RTC
2023 8 Bibliocolabora,8,2023,Bibliocolabora,UDG,RTC
2023 9 Biological Sciences - JSTOR ,9,2023,Biological Sciences - JSTOR ,UDG,RTC
2023 10 BioOne Complete,10,2023,BioOne Complete,UDG,RTC
2023 11 Building Types Online - De Gruyter,11,2023,Building Types Online - De Gruyter,UDG,RTC
2023 12 Cambridge Journals Collection - Cambridge University Press,12,2023,Cambridge Journals Collection - Cambridge University Press,UDG,RTC
2023 13 CSIC-CINDOC - (Bibliocolabora),13,2023,CSIC-CINDOC - (Bibliocolabora),UDG,RTC
2023 14 Digitalia Film Library,14,2023,Digitalia Film Library,UDG,RTC
2023 15 EMIS Pro Global - ISI Emerging Markets Group,15,2023,EMIS Pro Global - ISI Emerging Markets Group,UDG,RTC
2023 16 Food Science Source - EBSCO,16,2023,Food Science Source - EBSCO,UDG,RTC
2023 17 Gale Academic One File - Gale,17,2023,Gale Academic One File - Gale,UDG,RTC
2023 18 Gale Business Insights Global - Gale,18,2023,Gale Business Insights Global - Gale,UDG,RTC
2023 19 Gale in Context: Enviromental Studies - Gale,19,2023,Gale in Context: Enviromental Studies - Gale,UDG,RTC
2023 20 Gale in Context: Science - Gale,20,2023,Gale in Context: Science - Gale,UDG,RTC
2023 21 Gale Interactive: Chemistry - Gale,21,2023,Gale Interactive: Chemistry - Gale,UDG,RTC
2023 22 Gale Interactive: Human Anatomy - Gale,22,2023,Gale Interactive: Human Anatomy - Gale,UDG,RTC
2023 23 Gale One File Informe Académico - Gale,23,2023,Gale One File Informe Académico - Gale,UDG,RTC
2023 24 Gale One File News - Gale,24,2023,Gale One File News - Gale,UDG,RTC
2023 25 Gale Pprimary Sources Archives Unbound - Gale,25,2023,Gale Pprimary Sources Archives Unbound - Gale,UDG,RTC
2023 26 Global Plants - JSTOR,26,2023,Global Plants - JSTOR,UDG,RTC
2023 27 Hemeroteca Proceso,27,2023,Hemeroteca Proceso,UDG,RTC
2023 28 IEEE/IET Electronic Library (IEL) - Institute of Electrical and Electronics Engineers IEEE,28,2023,IEEE/IET Electronic Library (IEL) - Institute of Electrical and Electronics Engineers IEEE,UDG,RTC
2023 29 InCites Benchmarking & Analytics - Clarivate Analytics,29,2023,InCites Benchmarking & Analytics - Clarivate Analytics,UDG,RTC
2023 30 Ingenta Connect ,30,2023,Ingenta Connect ,UDG,RTC
2023 31 Journals IOP - Institute of Physics ,31,2023,Journals IOP - Institute of Physics ,UDG,RTC
2023 32 J-Gate Full Collection,32,2023,J-Gate Full Collection,UDG,RTC
"2023 33 Library, Information Science & Technology Abstracts EBSCO",33,2023,"Library, Information Science & Technology Abstracts EBSCO",UDG,RTC
2023 34 Life Sciences - JSTOR,34,2023,Life Sciences - JSTOR,UDG,RTC
2023 35 MIT Press Journals Collection,35,2023,MIT Press Journals Collection,UDG,RTC
