row,5_1_1_anio,5_1_1_continente,5_1_1_region,5_1_1_pais,5_1_1_total,5_1_1_general,5_1_1_especifico,5_1_1_estatus
2022 Acumulado Camerún,2022,África,África,Camerún,1,1,0,Acumulado
2022 Acumulado Marruecos,2022,África,África,Marruecos,1,1,0,Acumulado
2022 Acumulado Costa Rica,2022,América,Centroamérica y el Caribe,Costa Rica,6,4,2,Acumulado
2022 Acumulado Cuba,2022,América,Centroamérica y el Caribe,Cuba,17,10,7,Acumulado
2022 Acumulado El Salvador,2022,América,Centroamérica y el Caribe,El Salvador,3,2,1,Acumulado
2022 Acumulado Guatemala,2022,América,Centroamérica y el Caribe,Guatemala,1,0,1,Acumulado
2022 Acumulado Honduras,2022,América,Centroamérica y el Caribe,Honduras,1,1,0,Acumulado
2022 Acumulado Nicaragua,2022,América,Centroamérica y el Caribe,Nicaragua,3,2,1,Acumulado
2022 Acumulado Panamá,2022,América,Centroamérica y el Caribe,Panamá,1,1,0,Acumulado
2022 Acumulado Puerto Rico,2022,América,Centroamérica y el Caribe,Puerto Rico,2,1,1,Acumulado
2022 Acumulado Canadá,2022,América,Norteamérica,Canadá,15,8,7,Acumulado
2022 Acumulado Estados Unidos de América,2022,América,Norteamérica,Estados Unidos de América,38,24,14,Acumulado
2022 Acumulado México,2022,América,Norteamérica,México,297,219,78,Acumulado
2022 Acumulado Argentina,2022,América,Sudamérica,Argentina,33,18,15,Acumulado
2022 Acumulado Bolivia,2022,América,Sudamérica,Bolivia,5,2,3,Acumulado
2022 Acumulado Brasil,2022,América,Sudamérica,Brasil,28,18,10,Acumulado
2022 Acumulado Chile,2022,América,Sudamérica,Chile,30,17,13,Acumulado
2022 Acumulado Colombia,2022,América,Sudamérica,Colombia,75,41,34,Acumulado
2022 Acumulado Ecuador,2022,América,Sudamérica,Ecuador,13,9,4,Acumulado
2022 Acumulado Perú,2022,América,Sudamérica,Perú,13,8,5,Acumulado
2022 Acumulado Venezuela,2022,América,Sudamérica,Venezuela,4,4,0,Acumulado
2022 Acumulado Uruguay,2022,América,Sudamérica,Uruguay,2,1,1,Acumulado
2022 Acumulado China,2022,Asia,Asia,China,1,1,0,Acumulado
2022 Acumulado Corea del Sur,2022,Asia,Asia,Corea del Sur,12,5,7,Acumulado
2022 Acumulado India,2022,Asia,Asia,India,4,3,1,Acumulado
2022 Acumulado Japón,2022,Asia,Asia,Japón,22,12,10,Acumulado
2022 Acumulado Jordania,2022,Asia,Asia,Jordania,1,1,0,Acumulado
2022 Acumulado Kirguistán,2022,Asia,Asia,Kirguistán,1,1,0,Acumulado
