row,clave_carrera,nombre_carrera_911,nivel_educativo,campo_clasificacion,modalidad
1,5033100003,Abogado,Licenciatura,Derecho,Escolarizada
2,8071200008,Doc. en Agua y Energía,Doctorado,Electricidad y generación de energía,Escolarizada
3,8021000010,Doc. en Arte y Cultura,Doctorado,Planes multidisciplinarios o generales del campo de artes,Escolarizada
4,8095200001,Doc. en Biociencias,Doctorado,Biomedicina,Escolarizada
5,8052200001,Doc. en Ciencia de Materiales,Doctorado,Química,Escolarizada
6,8031100002,Doc. en Ciencia del Comportamiento,Doctorado,Psicología,Escolarizada
7,8031300003,Doc. en Ciencia Política,Doctorado,Ciencias políticas,Escolarizada
8,8071000002,Doc. en Ciencia y Tecnología,Doctorado,"Planes multidisciplinarios o generales del campo de ingeniería mecánica, eléctrica, electrónica, química y profesiones afines",Escolarizada
9,8052000002,Doc. en Ciencias,Doctorado,"Planes multidisciplinarios o generales del campo de ciencias físicas, químicas y de la tierra.",Escolarizada
10,8081100028,Doc. en Ciencias Agrícolas y Forestales,Doctorado,Producción y explotación agrícola y ganadera,Escolarizada
11,8051100004,Doc. en Ciencias Biológicas,Doctorado,Biología,Escolarizada
12,8095200003,Doc. en Ciencias Biomédicas,Doctorado,Biomedicina,Escolarizada
13,8081100033,Doc. en Ciencias con Orientación en Ciencias Biológicas y Agropecuarias,Doctorado,Producción y explotación agrícola y ganadera,Escolarizada
14,8042000005,Doc. en Ciencias de la Administración,Doctorado,Planes multidisciplinarios o generales del campo de administración y gestión,Escolarizada
15,8071300016,Doc. en Ciencias de la Electrónica y la Computación,Doctorado,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica",Escolarizada
16,8072100013,Doc. en Ciencias de la Nutrición Traslacional,Doctorado,Industria de la alimentación,Escolarizada
17,8091325001,Doc. en Ciencias de la Salud en el Trabajo,Doctorado,Medicina de especialidad,Escolarizada
18,8091100003,Doc. en Ciencias de la Salud Ocupacional,Doctorado,Medicina general,Escolarizada
19,8091345002,Doc. en Ciencias de la Salud Orientación en Investigación Clínica,Doctorado,Medicina de especialidad,Escolarizada
20,8095600001,Doc. en Ciencias de la Salud Pública,Doctorado,Salud pública,Escolarizada
21,8031400004,Doc. en Ciencias Económico Administrativas,Doctorado,Economía,Escolarizada
22,8051200020,Doc. en Ciencias en Biología Molecular en Medicina,Doctorado,Bioquímica y biofísica,Escolarizada
23,8051300007,"Doc. en Ciencias en Biosistemática, Ecología y Manejo de Recursos Naturales y Agrícolas",Doctorado,Ecología y ciencias ambientales,Escolarizada
24,8051100024,Doc. en Ciencias en Ecofisiología y Recursos Genéticos,Doctorado,Biología,Escolarizada
25,8052100009,Doc. en Ciencias en Física,Doctorado,Física y astronomía,Escolarizada
26,8071000012,Doc. en Ciencias en Ing.,Doctorado,"Planes multidisciplinarios o generales del campo de ingeniería mecánica, eléctrica, electrónica, química y profesiones afines",Escolarizada
27,8052200018,Doc. en Ciencias en Ing. Química,Doctorado,Química,Escolarizada
28,8053100005,Doc. en Ciencias en Matemáticas,Doctorado,Matemáticas,Escolarizada
29,8052000007,Doc. en Ciencias en Microbiología y la Biotecnología Molecular,Doctorado,"Planes multidisciplinarios o generales del campo de ciencias físicas, químicas y de la tierra.",Escolarizada
30,8071400003,Doc. en Ciencias en Procesos Biotecnológicos,Doctorado,Ingeniería de procesos químicos,Escolarizada
31,8052200009,Doc. en Ciencias en Química,Doctorado,Química,Escolarizada
32,8052100019,Doc. en Ciencias Físico Matemáticas,Doctorado,Física y astronomía,Escolarizada
33,8051300013,Doc. en Ciencias para el Desarrollo Sustentable,Doctorado,Ecología y ciencias ambientales,Escolarizada
34,8042200004,"Doc. en Ciencias para el Desarrollo, la Sustentabilidad y el Turismo",Doctorado,Administración turísticas y de restaurantes,Escolarizada
35,8031000001,Doc. en Ciencias Sociales,Doctorado,Planes multidisciplinarios o generales del campo de ciencias sociales y estudios del comportamiento,Escolarizada
36,8095000001,Doc. en Ciencias Socio Médicas,Doctorado,Planes multidisciplinarios o generales del campo de disciplinas auxiliares para la salud,Escolarizada
37,8073100010,"Doc. en Ciudad, Territorio y Sustentabilidad",Doctorado,Arquitectura y urbanismo,Escolarizada
38,8011000006,Doc. en Cognición y Aprendizaje,Doctorado,Planes multidisciplinarios o generales del campo de ciencias de la educación y pedagogía,Escolarizada
39,8033100009,Doc. en Derecho,Doctorado,Derecho,Escolarizada
40,8033100003,Doc. en Derechos Humanos,Doctorado,Derecho,Escolarizada
41,8011500003,Doc. en Educación,Doctorado,Ciencias de la educación,Escolarizada
42,8031400014,Doc. en Estudios Económicos,Doctorado,Economía,Escolarizada
43,8041400003,Doc. en Estudios Fiscales,Doctorado,Contabilidad y fiscalización,Escolarizada
44,8022300013,Doc. en Estudios Literarios y Lingüísticos,Doctorado,Literatura,Escolarizada
45,8031200023,Doc. en Estudios Regionales,Doctorado,Sociología y antropología,Escolarizada
46,8051200017,Doc. en Farmacología,Doctorado,Bioquímica y biofísica,Escolarizada
47,8051100012,Doc. en Genética Humana,Doctorado,Biología,Escolarizada
48,8052300012,Doc. en Geografía y Ordenación Territorial,Doctorado,Ciencias de la tierra y de la atmósfera,Escolarizada
49,8021000011,Doc. en Gestión de la Cultura,Doctorado,Planes multidisciplinarios o generales del campo de artes,No Escolarizada
50,8042500005,Doc. en Gestión de la Educación Superior,Doctorado,"Administración en los campos de la educación, salud, deporte, agronomía y las artes y humanidades",Escolarizada
51,8042000014,Doc. en Gestión y Negocios,Doctorado,Planes multidisciplinarios o generales del campo de administración y gestión,Escolarizada
52,8022500004,Doc. en Historia,Doctorado,Historia y arqueología,Escolarizada
53,8022000001,Doc. en Humanidades,Doctorado,Planes multidisciplinarios o generales del campo de humanidades,Escolarizada
54,8042100049,Doc. en Innovación para el Hábitat Sustentable,Doctorado,Administración de empresas,Escolarizada
55,8091345005,Doc. en Investigación Clínica,Doctorado,Medicina de especialidad,Escolarizada
56,8091345016,Doc. en Investigación Multidisciplinaria en Salud,Doctorado,Medicina de especialidad,Escolarizada
57,8022300004,Doc. en Letras,Doctorado,Literatura,Escolarizada
58,8095000003,Doc. en Microbiología Médica,Doctorado,Planes multidisciplinarios o generales del campo de disciplinas auxiliares para la salud,Escolarizada
59,8102100001,"Doc. en Movilidad Urbana, Transporte y Territorio",Doctorado,Servicios de transporte,Escolarizada
60,8031400010,Doc. en Negocios y Estudios Económicos,Doctorado,Economía,Escolarizada
61,8031300020,Doc. en Políticas Públicas y Desarrollo,Doctorado,Ciencias políticas,Escolarizada
62,8031100026,Doc. en Psicología con Orientación en Calidad de Vida y Salud,Doctorado,Psicología,Escolarizada
63,8011400005,Doc. en Sistemas y Ambientes Educativos,Doctorado,Tecnología y comunicación educativa,No Escolarizada
64,8062200005,Doc. en Tecnologías de Información,Doctorado,Informática,Escolarizada
65,8031100011,Doc. Interinstitucional en Psicología,Doctorado,Psicología,Escolarizada
66,6092204007,Esp. de Enfermería en Salud Pública,Especialidad,Enfermería de especialidad,Escolarizada
67,6091319001,Esp. en Alergia e Inmunología Clínica,Especialidad,Medicina de especialidad,Escolarizada
68,6091319004,Esp. en Alergia e Inmunología Clínica Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
69,6091329001,Esp. en Anatomía Patológica,Especialidad,Medicina de especialidad,Escolarizada
70,6091301004,Esp. en Anestesiología,Especialidad,Medicina de especialidad,Escolarizada
71,6091301005,Esp. en Anestesiología Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
72,6091302001,Esp. en Angiología y Cirugía Vascular,Especialidad,Medicina de especialidad,Escolarizada
73,6051100001,Esp. en Biología de la Reproducción Humana,Especialidad,Biología,Escolarizada
74,6091345005,Esp. en Calidad de la Atención Clínica,Especialidad,Medicina de especialidad,Escolarizada
75,6091304001,Esp. en Cardiología,Especialidad,Medicina de especialidad,Escolarizada
76,6091313001,Esp. en Cirugía Bariátrica y Metabólica,Especialidad,Medicina de especialidad,Escolarizada
77,6091306001,Esp. en Cirugía Cardiotorácica,Especialidad,Medicina de especialidad,Escolarizada
78,6091337008,Esp. en Cirugía de Trauma Toraco-Abdominal,Especialidad,Medicina de especialidad,Escolarizada
79,6091305002,Esp. en Cirugía General,Especialidad,Medicina de especialidad,Escolarizada
80,6091345008,Esp. en Cirugía Laparoscópica,Especialidad,Medicina de especialidad,Escolarizada
81,6093201002,Esp. en Cirugía Maxilofacial,Especialidad,Estomatología y odontología de especialidad,Escolarizada
82,6091336001,Esp. en Cirugía Oncológica,Especialidad,Medicina de especialidad,Escolarizada
83,6091345011,Esp. en Cirugía Oncológica de Cabeza y Cuello,Especialidad,Medicina de especialidad,Escolarizada
84,6091308001,Esp. en Cirugía Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
85,6091309002,Esp. en Cirugía Plástica y Reconstructiva,Especialidad,Medicina de especialidad,Escolarizada
86,6091312001,Esp. en Coloproctología,Especialidad,Medicina de especialidad,Escolarizada
87,6091310001,Esp. en Dermatología,Especialidad,Medicina de especialidad,Escolarizada
88,6091310002,Esp. en Dermatología Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
89,6091311001,Esp. en Endocrinología,Especialidad,Medicina de especialidad,Escolarizada
90,6093202001,Esp. en Endodoncia,Especialidad,Estomatología y odontología de especialidad,Escolarizada
91,6092202002,Esp. en Enfermería en Cuidados Intensivos,Especialidad,Enfermería de especialidad,Escolarizada
92,6092208015,Esp. en Enfermería en Cuidados Paliativos,Especialidad,Enfermería de especialidad,Escolarizada
93,6092203006,Esp. en Enfermería en Gerontología y Geriatría,Especialidad,Enfermería de especialidad,Escolarizada
94,6092206010,Esp. en Enfermería Neonatal,Especialidad,Enfermería de especialidad,Escolarizada
95,6092206002,Esp. en Enfermería Pediátrica,Especialidad,Enfermería de especialidad,Escolarizada
96,6092207003,Esp. en Enfermería Quirúrgica,Especialidad,Enfermería de especialidad,Escolarizada
97,6095600002,Esp. en Epidemiología,Especialidad,Salud pública,Escolarizada
