name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
1 2021-2022 14MMS0608W BGAI,1,2021-2022,14MMS0608W,BGAI,Escolarizada,16,15,,31,,,,0,,,,0,,,,,,,,,,,,
2 2021-2022 14MMS0608W BGC,2,2021-2022,14MMS0608W,BGC,Escolarizada,376,473,,849,,,,12,,,,0,,,,,,,,,,,,
3 2021-2022 14MMS0608W BGC,3,2021-2022,14MMS0608W,BGC,Escolarizada,382,462,,844,,,,13,,,,0,,,,,,,,,,,,
4 2021-2022 14MMS0609V BGAI,4,2021-2022,14MMS0609V,BGAI,Escolarizada,50,39,,89,,,,0,,,,0,,,,,,,,,,,,
5 2021-2022 14MMS0609V BGC,5,2021-2022,14MMS0609V,BGC,Escolarizada,206,310,,516,,,,4,,,,0,,,,,,,,,,,,
6 2021-2022 14MMS0609V BGC,6,2021-2022,14MMS0609V,BGC,Escolarizada,191,322,,513,,,,10,,,,0,,,,,,,,,,,,
7 2021-2022 14MMS0610K BGAI,7,2021-2022,14MMS0610K,BGAI,Escolarizada,57,67,,124,,,,2,,,,0,,,,,,,,,,,,
8 2021-2022 14MMS0610K BGC,8,2021-2022,14MMS0610K,BGC,Escolarizada,196,310,,506,,,,11,,,,0,,,,,,,,,,,,
9 2021-2022 14MMS0610K BGC,9,2021-2022,14MMS0610K,BGC,Escolarizada,178,328,,506,,,,12,,,,0,,,,,,,,,,,,
10 2021-2022 14MMS0611J BGAI,10,2021-2022,14MMS0611J,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
11 2021-2022 14MMS0611J BGC,11,2021-2022,14MMS0611J,BGC,Escolarizada,236,336,,572,,,,8,,,,0,,,,,,,,,,,,
12 2021-2022 14MMS0611J BGC,12,2021-2022,14MMS0611J,BGC,Escolarizada,230,338,,568,,,,8,,,,1,,,,,,,,,,,,
13 2021-2022 14MMS0612I BGAI,13,2021-2022,14MMS0612I,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
14 2021-2022 14MMS0612I BGC,14,2021-2022,14MMS0612I,BGC,Escolarizada,357,636,,993,,,,16,,,,1,,,,,,,,,,,,
15 2021-2022 14MMS0612I BGC,15,2021-2022,14MMS0612I,BGC,Escolarizada,379,612,,991,,,,12,,,,1,,,,,,,,,,,,
16 2021-2022 14MMS0613H BGAI,16,2021-2022,14MMS0613H,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
17 2021-2022 14MMS0613H BGC,17,2021-2022,14MMS0613H,BGC,Escolarizada,422,567,,989,,,,23,,,,2,,,,,,,,,,,,
18 2021-2022 14MMS0613H BGC,18,2021-2022,14MMS0613H,BGC,Escolarizada,409,578,,987,,,,13,,,,0,,,,,,,,,,,,
19 2021-2022 14MMS0761Q BGC,19,2021-2022,14MMS0761Q,BGC,Escolarizada,31,39,,70,,,,0,,,,0,,,,,,,,,,,,
20 2021-2022 14MMS0761Q BGC,20,2021-2022,14MMS0761Q,BGC,Escolarizada,31,39,,70,,,,1,,,,0,,,,,,,,,,,,
21 2021-2022 14MMS0647Y BGAI,21,2021-2022,14MMS0647Y,BGAI,Escolarizada,31,23,,54,,,,3,,,,0,,,,,,,,,,,,
22 2021-2022 14MMS0647Y BGC,22,2021-2022,14MMS0647Y,BGC,Escolarizada,253,399,,652,,,,12,,,,0,,,,,,,,,,,,
23 2021-2022 14MMS0647Y BGC,23,2021-2022,14MMS0647Y,BGC,Escolarizada,239,411,,650,,,,8,,,,0,,,,,,,,,,,,
24 2021-2022 14MMS0762P BGC,24,2021-2022,14MMS0762P,BGC,Escolarizada,33,41,,74,,,,1,,,,0,,,,,,,,,,,,
25 2021-2022 14MMS0762P BGC,25,2021-2022,14MMS0762P,BGC,Escolarizada,31,42,,73,,,,1,,,,0,,,,,,,,,,,,
26 2021-2022 14MMS0648X BGC,26,2021-2022,14MMS0648X,BGC,Escolarizada,282,406,,688,,,,7,,,,3,,,,,,,,,,,,
27 2021-2022 14MMS0648X BGC,27,2021-2022,14MMS0648X,BGC,Escolarizada,296,389,,685,,,,9,,,,0,,,,,,,,,,,,
28 2021-2022 14MMS0649W BGAI,28,2021-2022,14MMS0649W,BGAI,Escolarizada,48,50,,98,,,,1,,,,0,,,,,,,,,,,,
29 2021-2022 14MMS0649W BGC,29,2021-2022,14MMS0649W,BGC,Escolarizada,392,560,,952,,,,4,,,,1,,,,,,,,,,,,
30 2021-2022 14MMS0649W BGC,30,2021-2022,14MMS0649W,BGC,Escolarizada,401,547,,948,,,,7,,,,1,,,,,,,,,,,,
31 2021-2022 14MMS0650L BGAI,31,2021-2022,14MMS0650L,BGAI,Escolarizada,57,42,,99,,,,0,,,,0,,,,,,,,,,,,
