name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
351 2022-2023 14MMS0799C 2071200002,351,2022-2023,14MMS0799C,2071200002,Escolarizada,1,0,,1,,,,0,,,,0,1,0,,1,,,,0,,,,0
355 2022-2023 14MMS0799C 2072000001,355,2022-2023,14MMS0799C,2072000001,Escolarizada,16,3,,19,,,,0,,,,0,0,0,,0,,,,0,,,,0
358 2022-2023 14MMS0799C 2071100002,358,2022-2023,14MMS0799C,2071100002,Escolarizada,1,0,,1,,,,0,,,,0,2,0,,2,,,,0,,,,0
363 2022-2023 14MMS0645Z 3021700001,363,2022-2023,14MMS0645Z,3021700001,Escolarizada,4,18,,22,,,,0,,,,0,0,0,,0,,,,0,,,,0
366 2022-2023 14MMS0830W 3081100024,366,2022-2023,14MMS0830W,3081100024,Escolarizada,14,7,,21,,,,0,,,,21,0,0,,0,,,,0,,,,0
369 2022-2023 14MMS0718B 3101600003,369,2022-2023,14MMS0718B,3101600003,Escolarizada,15,26,,41,,,,0,,,,0,0,0,,0,,,,0,,,,0
382 2022-2023 14MMS0616E 2071100002,382,2022-2023,14MMS0616E,2071100002,Escolarizada,16,0,,16,,,,1,,,,0,3,0,,3,,,,0,,,,0
387 2022-2023 14MMS0632W 3042100026,387,2022-2023,14MMS0632W,3042100026,Escolarizada,13,4,,17,,,,0,,,,0,0,0,,0,,,,0,,,,0
400 2022-2023 14USU0002Z 5041400032,400,2022-2023,14USU0002Z,5041400032,Escolarizada,8,21,,29,,,,1,,,,0,2,19,,21,,,,0,,,,1
401 2022-2023 14USU0002Z 5042000002,401,2022-2023,14USU0002Z,5042000002,Escolarizada,31,36,,67,,,,2,,,,2,10,28,,38,,,,0,,,,0
411 2022-2023 14USU0003Y 5031500010,411,2022-2023,14USU0003Y,5031500010,Escolarizada,5,40,,45,,,,0,,,,0,4,106,,110,,,,0,,,,0
421 2022-2023 14USU0003Y 5071300014,421,2022-2023,14USU0003Y,5071300014,Escolarizada,88,10,,98,,,,1,,,,0,22,2,,24,,,,0,,,,0
432 2022-2023 14USU0004X 5032200003,432,2022-2023,14USU0004X,5032200003,No escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
440 2022-2023 14USU0005W 5021200054,440,2022-2023,14USU0005W,5021200054,Escolarizada,10,32,,42,,,,0,,,,0,3,32,,35,,,,0,,,,0
