name,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2022-202314USU0130U7011000002,2022-2023,14USU0130U,7011000002,Escolarizada,3,21,0,24,0,0,0,0,0,0,0,0
2022-202314USU0120N7041100026,2022-2023,14USU0120N,7041100026,Escolarizada,7,12,0,19,0,0,0,0,0,0,0,0
2022-202314USU0120N7041200034,2022-2023,14USU0120N,7041200034,Escolarizada,29,47,0,76,1,0,0,1,0,0,0,0
2022-202314USU0120N7041200042,2022-2023,14USU0120N,7041200042,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0120N7041300021,2022-2023,14USU0120N,7041300021,Escolarizada,45,49,0,94,0,0,0,0,0,0,0,0
2022-202314USU0120N7041300024,2022-2023,14USU0120N,7041300024,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0120N7041400008,2022-2023,14USU0120N,7041400008,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0120N7041400009,2022-2023,14USU0120N,7041400009,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0120N7041400028,2022-2023,14USU0120N,7041400028,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0110G8052000007,2022-2023,14USU0110G,8052000007,Escolarizada,1,6,0,7,0,0,0,0,0,0,0,0
2022-202314USU0110G8052100009,2022-2023,14USU0110G,8052100009,Escolarizada,14,2,0,16,0,0,0,0,0,0,0,0
2022-202314USU0110G8052200001,2022-2023,14USU0110G,8052200001,Escolarizada,8,7,0,15,0,0,0,0,0,0,0,0
2022-202314USU0110G8062200001,2022-2023,14USU0110G,8062200001,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0110G8052200009,2022-2023,14USU0110G,8052200009,Escolarizada,7,10,0,17,0,0,0,0,0,0,0,0
2022-202314USU0110G8052200018,2022-2023,14USU0110G,8052200018,Escolarizada,12,1,0,13,0,0,0,0,0,0,0,0
2022-202314USU0110G8052200023,2022-2023,14USU0110G,8052200023,Escolarizada,1,3,0,4,0,0,0,0,0,0,0,0
2022-202314USU0110G8053100005,2022-2023,14USU0110G,8053100005,Escolarizada,1,1,0,2,0,0,0,0,0,0,0,0
2022-202314USU0110G8071300016,2022-2023,14USU0110G,8071300016,Escolarizada,20,6,0,26,1,0,0,1,0,0,0,0
2022-202314USU0110G8071400003,2022-2023,14USU0110G,8071400003,Escolarizada,18,23,0,41,0,0,0,0,0,0,0,0
2022-202314USU0120N7011000042,2022-2023,14USU0120N,7011000042,Escolarizada,6,18,0,24,0,1,0,1,0,0,0,0
2022-202314USU0002Z5042000002,2022-2023,14USU0002Z,5042000002,Escolarizada,128,173,0,301,5,4,0,9,7,6,0,13
2022-202314USU0002Z5062100034,2022-2023,14USU0002Z,5062100034,Escolarizada,1,0,0,1,0,0,0,0,0,0,0,0
2022-202314USU0002Z5062200073,2022-2023,14USU0002Z,5062200073,Escolarizada,156,46,0,202,5,1,0,6,11,2,0,13
2022-202314USU0002Z5011100022,2022-2023,14USU0002Z,5011100022,Escolarizada,21,33,0,54,0,0,0,0,21,33,0,54
2022-202314USU0002Z5011500002,2022-2023,14USU0002Z,5011500002,Escolarizada,67,190,0,257,5,5,0,10,26,27,0,53
2022-202314USU0002Z5031100007,2022-2023,14USU0002Z,5031100007,Escolarizada,74,254,0,328,1,10,0,11,1,3,0,4
2022-202314USU0002Z5031200004,2022-2023,14USU0002Z,5031200004,Escolarizada,4,12,0,16,0,0,0,0,0,2,0,2
2022-202314USU0002Z5033100003,2022-2023,14USU0002Z,5033100003,Escolarizada,251,342,0,593,4,10,0,14,7,4,0,11
2022-202314USU0002Z5041100021,2022-2023,14USU0002Z,5041100021,Escolarizada,53,34,0,87,0,0,0,0,8,4,0,12
2022-202314USU0003Y5062200082,2022-2023,14USU0003Y,5062200082,Escolarizada,129,35,0,164,2,2,0,4,0,0,0,0
2022-202314USU0003Y5071300014,2022-2023,14USU0003Y,5071300014,Escolarizada,302,35,0,337,6,2,0,8,0,0,0,0
2022-202314USU0003Y5071300091,2022-2023,14USU0003Y,5071300091,Escolarizada,70,17,0,87,5,0,0,5,0,0,0,0
2022-202314USU0003Y5072400001,2022-2023,14USU0003Y,5072400001,Escolarizada,20,16,0,36,0,0,0,0,0,0,0,0
2022-202314USU0003Y5092100006,2022-2023,14USU0003Y,5092100006,Escolarizada,63,196,0,259,1,4,0,5,0,0,0,0
2022-202314USU0003Y5094200006,2022-2023,14USU0003Y,5094200006,Escolarizada,51,213,0,264,4,3,0,7,0,1,0,1
2022-202314USU0003Y5101600013,2022-2023,14USU0003Y,5101600013,Escolarizada,47,140,0,187,1,3,0,4,0,0,0,0
2022-202314USU0004X5011200004,2022-2023,14USU0004X,5011200004,No escolarizada,137,555,0,692,2,20,0,22,2,3,0,5
2022-202314USU0004X5011500002,2022-2023,14USU0004X,5011500002,No escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0004X5021000007,2022-2023,14USU0004X,5021000007,No escolarizada,82,210,0,292,1,5,0,6,0,2,0,2
2022-202314USU0004X5032100001,2022-2023,14USU0004X,5032100001,No escolarizada,44,31,0,75,1,1,0,2,0,0,0,0
2022-202314USU0004X5032200012,2022-2023,14USU0004X,5032200012,No escolarizada,33,80,0,113,1,2,0,3,3,1,0,4
2022-202314USU0004X5041200075,2022-2023,14USU0004X,5041200075,No escolarizada,426,632,0,1058,17,10,0,27,1,2,0,3
2022-202314USU0004X5042100065,2022-2023,14USU0004X,5042100065,No escolarizada,577,888,0,1465,7,19,0,26,3,4,0,7
2022-202314USU0004X5061000015,2022-2023,14USU0004X,5061000015,No escolarizada,338,143,0,481,6,3,0,9,2,0,0,2
2022-202314USU0004X5062200105,2022-2023,14USU0004X,5062200105,No escolarizada,492,165,0,657,18,3,0,21,2,0,0,2
2022-202314USU0004X5104100015,2022-2023,14USU0004X,5104100015,No escolarizada,84,78,0,162,3,1,0,4,0,0,0,0
2022-202314USU0005W5021000114,2022-2023,14USU0005W,5021000114,Escolarizada,215,248,0,463,8,5,0,13,1,0,0,1
2022-202314USU0005W5021200054,2022-2023,14USU0005W,5021200054,Escolarizada,76,219,0,295,4,3,0,7,0,1,0,1
2022-202314USU0002Z5071300009,2022-2023,14USU0002Z,5071300009,Escolarizada,240,35,0,275,6,2,0,8,5,0,0,5
2022-202314USU0002Z5092100006,2022-2023,14USU0002Z,5092100006,Escolarizada,208,648,0,856,6,16,0,22,6,25,0,31
2022-202314USU0002Z5101600013,2022-2023,14USU0002Z,5101600013,Escolarizada,15,40,0,55,1,4,0,5,0,1,0,1
2022-202314USU0003Y5011500002,2022-2023,14USU0003Y,5011500002,Escolarizada,72,279,0,351,0,5,0,5,0,0,0,0
2022-202314USU0003Y5031100007,2022-2023,14USU0003Y,5031100007,Escolarizada,100,371,0,471,4,20,0,24,0,0,0,0
2022-202314USU0003Y5031500010,2022-2023,14USU0003Y,5031500010,Escolarizada,29,288,0,317,2,6,0,8,0,0,0,0
2022-202314USU0003Y5033100003,2022-2023,14USU0003Y,5033100003,Escolarizada,170,310,0,480,7,10,0,17,0,0,0,0
2022-202314USU0003Y5041100021,2022-2023,14USU0003Y,5041100021,Escolarizada,75,79,0,154,2,5,0,7,0,0,0,0
2022-202314USU0003Y5041400032,2022-2023,14USU0003Y,5041400032,Escolarizada,164,247,0,411,5,10,0,15,0,0,0,0
2022-202314USU0003Y5042000002,2022-2023,14USU0003Y,5042000002,Escolarizada,149,238,0,387,4,7,0,11,0,3,0,3
2022-202314USU0003Y5051100015,2022-2023,14USU0003Y,5051100015,Escolarizada,60,103,0,163,2,6,0,8,0,0,0,0
2022-202314USU0003Y5052200021,2022-2023,14USU0003Y,5052200021,Escolarizada,40,47,0,87,1,2,0,3,0,0,0,0
2022-202314USU0003Y5062200055,2022-2023,14USU0003Y,5062200055,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
2022-202314USU0003Y5062200073,2022-2023,14USU0003Y,5062200073,Escolarizada,230,20,0,250,8,0,0,8,1,0,0,1
2022-202314USU0120N7011200077,2022-2023,14USU0120N,7011200077,Escolarizada,6,11,0,17,0,0,0,0,0,0,0,0
2022-202314USU0009S5033100003,2022-2023,14USU0009S,5033100003,Escolarizada,10,25,0,35,0,0,0,0,0,0,0,0
2022-202314USU0009S5042000002,2022-2023,14USU0009S,5042000002,Escolarizada,34,39,0,73,0,1,0,1,0,0,0,0
2022-202314USU0009S5101600013,2022-2023,14USU0009S,5101600013,Escolarizada,12,20,0,32,0,0,0,0,0,0,0,0
2022-202314USU0010H5021500119,2022-2023,14USU0010H,5021500119,Escolarizada,45,112,0,157,2,4,0,6,1,0,0,1
2022-202314USU0010H5031200031,2022-2023,14USU0010H,5031200031,Escolarizada,186,318,0,504,0,7,0,7,0,0,0,0
2022-202314USU0010H5031300010,2022-2023,14USU0010H,5031300010,Escolarizada,317,267,0,584,8,3,0,11,0,2,0,2
2022-202314USU0010H5031300014,2022-2023,14USU0010H,5031300014,Escolarizada,192,516,0,708,3,11,0,14,1,0,0,1
2022-202314USU0010H5031500010,2022-2023,14USU0010H,5031500010,Escolarizada,81,1340,0,1421,7,32,0,39,1,6,0,7
2022-202314USU0010H5032100027,2022-2023,14USU0010H,5032100027,Escolarizada,47,82,0,129,0,2,0,2,0,0,0,0
2022-202314USU0010H5033200006,2022-2023,14USU0010H,5033200006,Escolarizada,193,451,0,644,3,11,0,14,0,0,0,0
2022-202314USU0011G5031300044,2022-2023,14USU0011G,5031300044,Escolarizada,24,16,0,40,0,0,0,0,1,1,0,2
2022-202314USU0011G5041100056,2022-2023,14USU0011G,5041100056,Escolarizada,90,109,0,199,2,1,0,3,0,0,0,0
2022-202314USU0011G5042000002,2022-2023,14USU0011G,5042000002,Escolarizada,86,113,0,199,0,0,0,0,0,0,0,0
2022-202314USU0011G5042100092,2022-2023,14USU0011G,5042100092,Escolarizada,18,42,0,60,0,1,0,1,0,0,0,0
