row,name,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1,2022-202314USU0130U7011000002,2022-2023,14USU0130U,7011000002,Escolarizada,3,21,0,24,0,0,0,0,0,0,0,0
2,2022-202314USU0120N7041100026,2022-2023,14USU0120N,7041100026,Escolarizada,7,12,0,19,0,0,0,0,0,0,0,0
3,2022-202314USU0120N7041200034,2022-2023,14USU0120N,7041200034,Escolarizada,29,47,0,76,1,0,0,1,0,0,0,0
4,2022-202314USU0120N7041200042,2022-2023,14USU0120N,7041200042,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-202314USU0120N7041300021,2022-2023,14USU0120N,7041300021,Escolarizada,45,49,0,94,0,0,0,0,0,0,0,0
6,2022-202314USU0120N7041300024,2022-2023,14USU0120N,7041300024,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
7,2022-202314USU0120N7041400008,2022-2023,14USU0120N,7041400008,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-202314USU0120N7041400009,2022-2023,14USU0120N,7041400009,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-202314USU0120N7041400028,2022-2023,14USU0120N,7041400028,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
10,2022-202314USU0110G8052000007,2022-2023,14USU0110G,8052000007,Escolarizada,1,6,0,7,0,0,0,0,0,0,0,0
11,2022-202314USU0110G8052100009,2022-2023,14USU0110G,8052100009,Escolarizada,14,2,0,16,0,0,0,0,0,0,0,0
12,2022-202314USU0110G8052200001,2022-2023,14USU0110G,8052200001,Escolarizada,8,7,0,15,0,0,0,0,0,0,0,0
13,2022-202314USU0110G8062200001,2022-2023,14USU0110G,8062200001,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
14,2022-202314USU0110G8052200009,2022-2023,14USU0110G,8052200009,Escolarizada,7,10,0,17,0,0,0,0,0,0,0,0
15,2022-202314USU0110G8052200018,2022-2023,14USU0110G,8052200018,Escolarizada,12,1,0,13,0,0,0,0,0,0,0,0
16,2022-202314USU0110G8052200023,2022-2023,14USU0110G,8052200023,Escolarizada,1,3,0,4,0,0,0,0,0,0,0,0
17,2022-202314USU0110G8053100005,2022-2023,14USU0110G,8053100005,Escolarizada,1,1,0,2,0,0,0,0,0,0,0,0
18,2022-202314USU0110G8071300016,2022-2023,14USU0110G,8071300016,Escolarizada,20,6,0,26,1,0,0,1,0,0,0,0
19,2022-202314USU0110G8071400003,2022-2023,14USU0110G,8071400003,Escolarizada,18,23,0,41,0,0,0,0,0,0,0,0
20,2022-202314USU0120N7011000042,2022-2023,14USU0120N,7011000042,Escolarizada,6,18,0,24,0,1,0,1,0,0,0,0
21,2022-202314USU0002Z5042000002,2022-2023,14USU0002Z,5042000002,Escolarizada,128,173,0,301,5,4,0,9,7,6,0,13
22,2022-202314USU0002Z5062100034,2022-2023,14USU0002Z,5062100034,Escolarizada,1,0,0,1,0,0,0,0,0,0,0,0
23,2022-202314USU0002Z5062200073,2022-2023,14USU0002Z,5062200073,Escolarizada,156,46,0,202,5,1,0,6,11,2,0,13
24,2022-202314USU0002Z5011100022,2022-2023,14USU0002Z,5011100022,Escolarizada,21,33,0,54,0,0,0,0,21,33,0,54
