name,continente,region
Alemania,Europa,Europa
Andorra,Europa,Europa
Argentina,América,Sudamérica
Australia,Oceanía,Oceanía
Austria,Europa,Europa
Bélgica,Europa,Europa
Bolivia,América,Sudamérica
Brasil,América,Sudamérica
Camerún,África,África
Canadá,América,Norteamérica
Chile,América,Sudamérica
China,Asia,Asia
Colombia,América,Sudamérica
Corea del Sur,Asia,Asia
Costa Rica,América,Centroamérica y el Caribe
Croacia,Europa,Europa
Cuba,América,Centroamérica y el Caribe
Ecuador,América,Sudamérica
El Salvador,América,Centroamérica y el Caribe
España,Europa,Europa
Estados Unidos de América,América,Norteamérica
Finlandia,Europa,Europa
Francia,Europa,Europa
Grecia,Europa,Europa
Guatemala,América,Centroamérica y el Caribe
Honduras,América,Centroamérica y el Caribe
India,Asia,Asia
Irlanda,Europa,Europa
Italia,Europa,Europa
Japón,Asia,Asia
Jordania,Asia,Asia
Kirguistán,Asia,Asia
Malta,Europa,Europa
Marruecos,África,África
México,América,Norteamérica
Nicaragua,América,Centroamérica y el Caribe
Noruega,Europa,Europa
Países Bajos,Europa,Europa
Panamá,América,Centroamérica y el Caribe
Perú,América,Sudamérica
Polonia,Europa,Europa
Portugal,Europa,Europa
Puerto Rico,América,Centroamérica y el Caribe
Reino Unido,Europa,Europa
República Checa,Europa,Europa
Rumania,Europa,Europa
Rusia,Europa,Europa
Suecia,Europa,Europa
Suiza,Europa,Europa
Tailandia,Asia,Asia
Taiwán,Asia,Asia
Turquía,Europa,Europa
Ucrania,Europa,Europa
Uruguay,América,Sudamérica
Venezuela,América,Sudamérica
