orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
1,CUCEA,,14USU0120N,Centro Universitario de Ciencias Económico Administrativas,CUCEA,Centro Universitario,Regional,Región Centro,Zapopan,
2,CUCEI,,14USU0110G,Centro Universitario de Ciencias Exactas e Ingenierías,CUCEI,Centro Universitario,Regional,Región Centro,Guadalajara,
3,CUCSH,,14USU0100Z,Centro Universitario de Ciencias Sociales y Humanidades sede La Normal,CUCSH - La Normal,Centro Universitario,Regional,Región Centro,Guadalajara,
4,CUCSH,,14USU0010H,Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,CUCSH - Belenes,Sede CU,Regional,Región Centro,Zapopan,
5,CUCS,,14USU0230T,Centro Universitario de Ciencias de la Salud,CUCS,Centro Universitario,Regional,Región Centro,Guadalajara,
6,CUAAD,,14USU0140A,"Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán",CUAAD - Huentitán,Centro Universitario,Regional,Región Centro,Guadalajara,
7,CUAAD,14USU0140A,14USU0005W,"Centro Universitario de Arte, Arquitectura y Diseño sede Santa María de Gracia",CUAAD - Santa María de Gracia,Sede CU,Regional,Región Centro,Guadalajara,
8,CUAAD,14USU0140A,14USU0006V,"Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",CUAAD - San Agustín,Sede CU,Regional,Región Centro,Guadalajara,
9,CUCBA,,14USU0130U,Centro Universitario de Ciencias Biológicas y Agropecuarias,CUCBA,Centro Universitario,Regional,Región Centro,Zapopan,
10,CUALTOS,,14USU0220M,Centro Universitario de los Altos,CUALTOS,Centro Universitario,Regional,Región Altos Sur,Tepatitlán de Morelos,
11,CUCIÉNEGA,,14USU0160O,Centro Universitario de la Ciénega sede Ocotlán,CUCIÉNEGA - Ocotlán,Centro Universitario,Regional,Región Ciénega,Ocotlán,
12,CUCIÉNEGA,14USU0160O,14USU0150H,Centro Universitario de la Ciénega sede Atotonilco,CUCIÉNEGA - Atotonilco,Sede CU,Regional,Región Ciénega,Atotonilco El Alto,
13,CUCIÉNEGA,14USU0160O,14USU0170V,Centro Universitario de la Ciénega sede La Barca,CUCIÉNEGA - La Barca,Sede CU,Regional,Región Ciénega,La Barca,
14,CUSUR,,14USU0210F,Centro Universitario del Sur,CUSUR,Centro Universitario,Regional,Región Sur,Zapotlán el Grande,
15,CUCOSTA,,14USU0190I,Centro Universitario de la Costa sede Puerto Vallarta,CUCOSTA - Puerto Vallarta,Centro Universitario,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,
16,CUCOSTA,14USU0190I,14USU0009S,Centro Universitario de la Costa sede Tomatlán,CUCOSTA - Tomatlán,Sede CU,Regional,Región Costa Sur,Tomatlán,
17,CUCOSTASUR,,14USU0200Z,Centro Universitario de la Costa Sur sede Autlán,CUCOSTASUR - Autlán,Centro Universitario,Regional,Región Sierra de Amula,Autlán de Navarro,
18,CUCOSTASUR,14USU0200Z,14USU0007U,Centro Universitario de la Costa Sur sede San Patricio Melaque,CUCOSTASUR - San Patricio Melaque,Sede CU,Regional,Región Costa Sur,Cihuatlán,
19,CUVALLES,,14USU0003Y,Centro Universitario de los Valles,CUVALLES,Centro Universitario,Regional,Región Valles,Ameca,
20,CUNORTE,,14USU0002Z,Centro Universitario del Norte,CUNORTE,Centro Universitario,Regional,Región Norte,Colotlán,
21,CULAGOS,,14USU0221L,Centro Universitario de los Lagos sede Lagos de Moreno,CULAGOS - Lagos de Moreno,Centro Universitario,Regional,Región Altos Norte,Lagos de Moreno,
22,CULAGOS,14USU0221L,14USU0222K,Centro Universitario de los Lagos sede San Juan de los Lagos,CULAGOS - San Juan de los Lagos,Sede CU,Regional,Región Altos Norte,San Juan de Los Lagos,
