name,orden,ciclo,anio,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
2022 14MMS0607X Prepa Jalisco,1,2022 - 2023,2022,SEMS,,14MMS0607X,Escuela Preparatoria de Jalisco,Prepa Jalisco,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle González Ortega,225,N/A,44100,http://prepajalisco.sems.udg.mx,prepajalisco.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+de+Jalisco/@20.6798322,-103.3527018,17z/data=!3m1!4b1!4m6!3m5!1s0x8428b1e4f9259c2d:0xfd00cc8e039b735f!8m2!3d20.6798322!4d-103.3505131!16s%2Fm%2F0283fp7?hl=es-419&entry=ttu",,
2022 14MMS0608W Prepa 2,2,2022 - 2023,2022,SEMS,,14MMS0608W,Escuela Preparatoria Núm. 2,Prepa 2,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Álvarez del Castillo,760,N/A,44370,http://prepa2.sems.udg.mx,prepa2.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+2+UdeG/@20.6826996,-103.3141765,19.94z/data=!4m14!1m7!3m6!1s0x8428b19da06988bf:0x47896c54587a8516!2sEscuela+Preparatoria+No.+2+UdeG!8m2!3d20.682959!4d-103.313954!16s%2Fg%2F1tdpmdb7!3m5!1s0x8428b19da06988bf:0x47896c54587a8516!8m2!3d20.682959!4d-103.313954!16s%2Fg%2F1tdpmdb7!5m1!1e1?entry=ttu",,
2022 14MMS0609V Prepa 3,3,2022 - 2023,2022,SEMS,,14MMS0609V,Escuela Preparatoria Núm. 3,Prepa 3,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Francisco Gómez de Mendiola,S/N,N/A,44700,http://prepa3.sems.udg.mx,prepa3.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+3+Universidad+de+Guadalajara/@20.6704588,-103.3183879,19.22z/data=!4m14!1m7!3m6!1s0x8428b18623ac4ad5:0xaee991fdb0cfe164!2sEscuela+Preparatoria+3+Universidad+de+Guadalajara!8m2!3d20.670235!4d-103.3180783!16s%2Fg%2F1vgw8ynj!3m5!1s0x8428b18623ac4ad5:0xaee991fdb0cfe164!8m2!3d20.670235!4d-103.3180783!16s%2Fg%2F1vgw8ynj!5m1!1e1?entry=ttu",,
2022 14MMS0610K Prepa 4,4,2022 - 2023,2022,SEMS,,14MMS0610K,Escuela Preparatoria Núm. 4,Prepa 4,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Torrecillas,S/N,N/A,44890,http://prepa4.sems.udg.mx,prepa4.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+4+U+de+G/@20.6403487,-103.3255163,20.33z/data=!4m6!3m5!1s0x8428b24639d44e4b:0xc6dec67afd99a48a!8m2!3d20.6402266!4d-103.3252972!16s%2Fg%2F1ptwssf6z?entry=ttu",,
2022 14MMS0611J Prepa 5,5,2022 - 2023,2022,SEMS,,14MMS0611J,Escuela Preparatoria Núm. 5,Prepa 5,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Fray Andrés de Urdaneta,S/N,N/A,44930,http://prepa5.sems.udg.mx,prepa5.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+5+UdeG/@20.6423329,-103.3721175,18.94z/data=!4m6!3m5!1s0x8428aded3dfc6f2d:0xb5d5c5b07287d9e8!8m2!3d20.6418996!4d-103.3720821!16s%2Fg%2F1tvgvnl2?entry=ttu",,
2022 14MMS0612I Prepa 6,6,2022 - 2023,2022,SEMS,,14MMS0612I,Escuela Preparatoria Núm. 6,Prepa 6,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Avenida Literatura,S/N,N/A,44990,http://prepa6.sems.udg.mx,prepa6.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+No+6+Universidad+De+Guadalajara/@20.606462,-103.352084,17z/data=!4m6!3m5!1s0x8428b29ab823232d:0x5b786d2519cfdf41!8m2!3d20.606457!4d-103.3486866!16s%2Fg%2F1td_yxzw?entry=ttu",,
2022 14MMS0613H Prepa 7,7,2022 - 2023,2022,SEMS,,14MMS0613H,Escuela Preparatoria Núm. 7,Prepa 7,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Avenida Tesistán,S/N,N/A,45130,http://prepa7.sems.udg.mx,prepa7.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+7/@20.7389447,-103.4144849,17z/data=!3m1!4b1!4m6!3m5!1s0x8428af7123dedcff:0xf42c86822cb7cb94!8m2!3d20.7389397!4d-103.41191!16s%2Fg%2F1tfxybsh?entry=ttu",,
2022 14MMS0647Y Prepa 8,8,2022 - 2023,2022,SEMS,,14MMS0647Y,Escuela Preparatoria Núm. 8,Prepa 8,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Periférico Norte,1900,N/A,45180,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+8+UdeG/@20.7327292,-103.3614328,18.39z/data=!4m6!3m5!1s0x8428afdfa32c71ad:0xf4f5aabbf3b88dc7!8m2!3d20.7323535!4d-103.360182!16s%2Fg%2F1hf377g77?entry=ttu",,
2022 14MMS0762P Módulo Cuquío,9,2022 - 2023,2022,SEMS,14MMS0647Y,14MMS0762P,Módulo Cuquío,Módulo Cuquío,Módulo,Metropolitano,Región Centro,Cuquío,Cuquío,Calle Avenal,54,N/A,45480,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.8+M%C3%B3dulo+Cuqu%C3%ADo./@20.9365796,-103.0251182,18.44z/data=!4m6!3m5!1s0x8428c2e553257b3d:0xf6c18f3a2b77c4e4!8m2!3d20.9358187!4d-103.0241257!16s%2Fg%2F11cm32xgqc?entry=ttu",,
2022 14MMS0761Q Módulo Ixtlahuacán del Río,10,2022 - 2023,2022,SEMS,14MMS0647Y,14MMS0761Q,Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,Módulo,Metropolitano,Región Centro,Ixtlahuacán del Río,Ixtlahuacán del Río,Calle Mariano Matamoros,1,N/A,45260,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Ixtlahuacan+delR%C3%ADo/@20.8611712,-103.2410873,19.06z/data=!4m6!3m5!1s0x8428becac5a260e7:0x16e8e2b2227a14f6!8m2!3d20.8613013!4d-103.2407791!16s%2Fg%2F1vxf_h8g?entry=ttu",,
2022 14MMS0648X Prepa 9,11,2022 - 2023,2022,SEMS,,14MMS0648X,Escuela Preparatoria Núm. 9,Prepa 9,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Avenida Dr. Mateo del Regil,S/N,N/A,45236,http://prepa9.sems.udg.mx,prepa9.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+9+UDG/@20.6252304,-103.445611,16.28z/data=!4m6!3m5!1s0x8428ac6fe879e3db:0x1c4321574a4a09d!8m2!3d20.6272351!4d-103.4397973!16s%2Fg%2F1tcx1vfb?entry=ttu",,
2022 14MMS0649W Prepa 10,12,2022 - 2023,2022,SEMS,,14MMS0649W,Escuela Preparatoria Núm. 10,Prepa 10,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Calle La Grana,430,2,45132,http://prepa10.sems.udg.mx,prepa10.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+10/@20.7491982,-103.3818164,16.35z/data=!4m6!3m5!1s0x8428af93641f307b:0x27ec46b46e848fd9!8m2!3d20.7457211!4d-103.3797175!16s%2Fg%2F1tznmn_q?entry=ttu",,
2022 14MMS0650L Prepa 11,13,2022 - 2023,2022,SEMS,,14MMS0650L,Escuela Preparatoria Núm. 11,Prepa 11,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Sierra Nevada,990,N/A,44290,http://prepa11.sems.udg.mx,prepa11.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+11/@20.6887714,-103.3326957,18.06z/data=!4m10!1m2!2m1!1sEscuela+Preparatoria+No.+11!3m6!1s0x8428b195ab52e235:0x51ceb9d6f0d8d6a0!8m2!3d20.6872004!4d-103.3320842!15sChtFc2N1ZWxhIFByZXBhcmF0b3JpYSBOby4gMTGSAQZzY2hvb2zgAQA!16s%2Fg%2F1tks6mt6?entry=ttu",,
2022 14MMS0646Z Prepa 12,14,2022 - 2023,2022,SEMS,,14MMS0646Z,Escuela Preparatoria Núm. 12,Prepa 12,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Corregidora (calle 40),500,N/A,44420,http://prepa12.sems.udg.mx,prepa12.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+12+UdeG/@20.6569778,-103.3287452,18z/data=!4m6!3m5!1s0x8428b224591fc009:0xbacb39c33dd84327!8m2!3d20.6575261!4d-103.3285668!16s%2Fg%2F1ptyv9923?entry=ttu",,
2022 14MMS0640E Módulo Tlaquepaque,15,2022 - 2023,2022,SEMS,14MMS0646Z,14MMS0640E,Módulo Tlaquepaque,Módulo Tlaquepaque,Módulo,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Francisco de Miranda,75,N/A,44500,http://prepa12.sems.udg.mx,prepa12.sems.udg.mx,"https://www.google.com.mx/maps/place/M%C3%B3dulo+de+Tlaquepaque+%7C+Escuela+Preparatoria+No.12+%7C+SEMS+%7C+UdeG/@20.6376607,-103.3135085,20.11z/data=!4m6!3m5!1s0x8428b24cbf2988fb:0x510ee7e2793f6f96!8m2!3d20.637932!4d-103.31348!16s%2Fg%2F1thbwzxq?entry=ttu",,
2022 14MMS0615F Prepa 13,16,2022 - 2023,2022,SEMS,,14MMS0615F,Escuela Preparatoria Núm. 13,Prepa 13,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Isla Pianosa,4575,N/A,45589,http://prepa13.sems.udg.mx,prepa13.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+13+UdeG/@20.6292018,-103.3984131,19.29z/data=!4m6!3m5!1s0x8428adb19c5e0725:0xf1b0b0b6253cf108!8m2!3d20.6294237!4d-103.3979069!16s%2Fg%2F1tgb7p2d?entry=ttu",,
2022 14MMS0630Y Prepa 14,17,2022 - 2023,2022,SEMS,,14MMS0630Y,Escuela Preparatoria Núm. 14,Prepa 14,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Volcán Miño,185,N/A,44250,http://prepa14.sems.udg.mx,prepa14.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+14+UdeG/@20.7334702,-103.3166194,19.15z/data=!4m6!3m5!1s0x8428b05edb72639f:0x9c395c2569540f70!8m2!3d20.7334322!4d-103.3160459!16s%2Fg%2F1td7j15g?entry=ttu",,
2022 14MMS0641D Módulo La Experiencia,18,2022 - 2023,2022,SEMS,14MMS0630Y,14MMS0641D,Módulo La Experiencia,Módulo La Experiencia,Módulo,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Hidalgo ,2,N/A,45198,http://prepa14.sems.udg.mx,prepa14.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+No.14+Modul%C3%B3+La+Experiencia+(Tonala)/@20.7296536,-103.3356929,19.47z/data=!4m6!3m5!1s0x8428b0475c2acc2d:0xaec6dba29e666f59!8m2!3d20.7299799!4d-103.3350002!16s%2Fg%2F11b7hplfcj?entry=ttu",,
