name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2018-2019 14MMS0607X BGAI,1,2018-2019,14MMS0607X,BGAI,Escolarizada,97,105,,202,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2 2018-2019 14MMS0607X BGC,2,2018-2019,14MMS0607X,BGC,Escolarizada,1043,1432,,2475,4,1,,5,1,0,,1,0,1,,1,2,0,,2,0,0,,0,8,14,,22,0,0,,0,0,0,,0,15,16,,31,0,0,,0
3 2018-2019 14MMS0608W BGAI,3,2018-2019,14MMS0608W,BGAI,Escolarizada,66,78,,144,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
4 2018-2019 14MMS0608W BGC,4,2018-2019,14MMS0608W,BGC,Escolarizada,1593,1902,,3495,1,1,,2,2,0,,2,0,0,,0,0,3,,3,1,0,,1,11,15,,26,0,1,,1,0,0,,0,15,20,,35,0,0,,0
5 2018-2019 14MMS0609V BGAI,5,2018-2019,14MMS0609V,BGAI,Escolarizada,231,150,,381,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
6 2018-2019 14MMS0609V BGC,6,2018-2019,14MMS0609V,BGC,Escolarizada,847,1180,,2027,1,2,,3,0,0,,0,0,0,,0,2,0,,2,1,0,,1,6,7,,13,0,1,,1,2,0,,2,12,10,,22,0,0,,0
7 2018-2019 14MMS0610K BGAI,7,2018-2019,14MMS0610K,BGAI,Escolarizada,136,152,,288,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
8 2018-2019 14MMS0610K BGC,8,2018-2019,14MMS0610K,BGC,Escolarizada,969,1303,,2272,0,1,,1,0,0,,0,0,0,,0,1,1,,2,0,0,,0,5,7,,12,0,1,,1,0,0,,0,6,10,,16,0,0,,0
9 2018-2019 14MMS0611J BGC,9,2018-2019,14MMS0611J,BGC,Escolarizada,1003,1454,,2457,1,1,,2,0,0,,0,0,0,,0,0,1,,1,0,0,,0,9,11,,20,0,0,,0,0,0,,0,10,13,,23,0,0,,0
10 2018-2019 14MMS0612I BGC,10,2018-2019,14MMS0612I,BGC,Escolarizada,1687,2513,,4200,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,2,,2,10,14,,24,0,1,,1,0,0,,0,10,18,,28,0,0,,0
11 2018-2019 14MMS0613H BGC,11,2018-2019,14MMS0613H,BGC,Escolarizada,2120,2667,,4787,2,3,,5,0,1,,1,1,0,,1,0,0,,0,14,15,,29,17,16,,33,0,0,,0,0,0,,0,34,35,,69,1,0,,1
12 2018-2019 14MMS0614G 3101600003,12,2018-2019,14MMS0614G,3101600003,Escolarizada,207,603,,810,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,4,,8,0,0,,0,0,0,,0,5,4,,9,0,0,,0
13 2018-2019 14MMS0614G BGC,13,2018-2019,14MMS0614G,BGC,Escolarizada,1822,2633,,4455,2,3,,5,1,1,,2,1,0,,1,1,2,,3,0,1,,1,17,21,,38,0,0,,0,0,0,,0,22,28,,50,0,0,,0
14 2018-2019 14MMS0615F BGC,14,2018-2019,14MMS0615F,BGC,Escolarizada,808,1199,,2007,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,5,5,,10,0,0,,0,0,0,,0,7,5,,12,0,0,,0
15 2018-2019 14MMS0616E 2071100002,15,2018-2019,14MMS0616E,2071100002,Escolarizada,225,4,,229,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
16 2018-2019 14MMS0616E 2071400001,16,2018-2019,14MMS0616E,2071400001,Escolarizada,211,258,,469,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,4,,6,0,1,,1,0,0,,0,2,5,,7,0,0,,0
17 2018-2019 14MMS0616E 2092100004,17,2018-2019,14MMS0616E,2092100004,Escolarizada,255,658,,913,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,4,,5,0,0,,0,0,0,,0,1,4,,5,0,0,,0
18 2018-2019 14MMS0616E 3081100003,18,2018-2019,14MMS0616E,3081100003,Escolarizada,239,175,,414,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,3,2,,5,0,0,,0,0,0,,0,4,2,,6,0,0,,0
