name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2019-2020 14MMS0607X BGAI Escolarizada,1,2019-2020,14MMS0607X,BGAI,Escolarizada,55,69,,124,1,0,,1,0,0,,0
2 2019-2020 14MMS0607X BGC Escolarizada,2,2019-2020,14MMS0607X,BGC,Escolarizada,1032,1354,,2386,17,19,,36,0,1,,1
3 2019-2020 14MMS0608W BGAI Escolarizada,3,2019-2020,14MMS0608W,BGAI,Escolarizada,17,22,,39,0,0,,0,0,0,,0
4 2019-2020 14MMS0608W BGC Escolarizada,4,2019-2020,14MMS0608W,BGC,Escolarizada,1572,1877,,3449,20,22,,42,0,1,,1
5 2019-2020 14MMS0609V BGAI Escolarizada,5,2019-2020,14MMS0609V,BGAI,Escolarizada,106,94,,200,0,0,,0,0,1,,1
6 2019-2020 14MMS0609V BGC Escolarizada,6,2019-2020,14MMS0609V,BGC,Escolarizada,827,1212,,2039,16,10,,26,0,0,,0
7 2019-2020 14MMS0610K BGAI Escolarizada,7,2019-2020,14MMS0610K,BGAI,Escolarizada,77,86,,163,2,0,,2,0,0,,0
8 2019-2020 14MMS0610K BGC Escolarizada,8,2019-2020,14MMS0610K,BGC,Escolarizada,906,1327,,2233,8,17,,25,0,0,,0
9 2019-2020 14MMS0611J BGC Escolarizada,9,2019-2020,14MMS0611J,BGC,Escolarizada,992,1402,,2394,15,14,,29,0,0,,0
10 2019-2020 14MMS0612I BGC Escolarizada,10,2019-2020,14MMS0612I,BGC,Escolarizada,1669,2547,,4216,14,28,,42,0,2,,2
11 2019-2020 14MMS0613H BGC Escolarizada,11,2019-2020,14MMS0613H,BGC,Escolarizada,2141,2716,,4857,35,39,,74,3,2,,5
12 2019-2020 14MMS0614G 3101600003 Escolarizada,12,2019-2020,14MMS0614G,3101600003,Escolarizada,210,621,,831,7,5,,12,0,0,,0
13 2019-2020 14MMS0614G BGC Escolarizada,13,2019-2020,14MMS0614G,BGC,Escolarizada,1754,2596,,4350,28,34,,62,0,1,,1
14 2019-2020 14MMS0615F BGC Escolarizada,14,2019-2020,14MMS0615F,BGC,Escolarizada,841,1272,,2113,7,17,,24,0,0,,0
15 2019-2020 14MMS0616E 2071100002 Escolarizada,15,2019-2020,14MMS0616E,2071100002,Escolarizada,236,5,,241,2,0,,2,0,0,,0
