name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2022-2023 14MMS0607X BGAI Escolarizada,1,2022-2023,14MMS0607X,BGAI,Escolarizada,116,74,,190,3,3,,6,0,0,,0
2 2022-2023 14MMS0607X BGC Escolarizada,2,2022-2023,14MMS0607X,BGC,Escolarizada,1236,1532,,2768,28,32,,60,2,2,,4
3 2022-2023 14MMS0608W BGAI Escolarizada,3,2022-2023,14MMS0608W,BGAI,Escolarizada,49,34,,83,1,0,,1,0,0,,0
4 2022-2023 14MMS0608W BGC Escolarizada,4,2022-2023,14MMS0608W,BGC,Escolarizada,1924,2257,,4181,37,45,,82,2,1,,3
5 2022-2023 14MMS0609V BGAI Escolarizada,5,2022-2023,14MMS0609V,BGAI,Escolarizada,59,34,,93,3,1,,4,0,0,,0
6 2022-2023 14MMS0609V BGC Escolarizada,6,2022-2023,14MMS0609V,BGC,Escolarizada,946,1427,,2373,22,19,,41,1,0,,1
7 2022-2023 14MMS0610K BGAI Escolarizada,7,2022-2023,14MMS0610K,BGAI,Escolarizada,71,59,,130,2,0,,2,0,0,,0
8 2022-2023 14MMS0610K BGC Escolarizada,8,2022-2023,14MMS0610K,BGC,Escolarizada,1028,1314,,2342,22,29,,51,0,0,,0
9 2022-2023 14MMS0611J BGAI Escolarizada,9,2022-2023,14MMS0611J,BGAI,Escolarizada,42,43,,85,0,0,,0,0,0,,0
10 2022-2023 14MMS0611J BGC Escolarizada,10,2022-2023,14MMS0611J,BGC,Escolarizada,1036,1725,,2761,18,26,,44,1,2,,3
11 2022-2023 14MMS0612I BGAI Escolarizada,11,2022-2023,14MMS0612I,BGAI,Escolarizada,34,26,,60,0,2,,2,0,0,,0
12 2022-2023 14MMS0612I BGC Escolarizada,12,2022-2023,14MMS0612I,BGC,Escolarizada,2124,2920,,5044,36,51,,87,2,1,,3
13 2022-2023 14MMS0613H BGAI Escolarizada,13,2022-2023,14MMS0613H,BGAI,Escolarizada,29,11,,40,0,0,,0,0,0,,0
