name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2018-2019 14MMS0608W BGAI,1,2018-2019,14MMS0608W,BGAI,Escolarizada,66,78,,144,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2 2018-2019 14MMS0608W BGC,2,2018-2019,14MMS0608W,BGC,Escolarizada,806,989,,1795,1,0,,1,2,0,,2,0,0,,0,0,2,,2,1,0,,1,4,10,,14,0,1,,1,0,0,,0,8,13,,21,0,0,,0
3 2018-2019 14MMS0608W BGC,3,2018-2019,14MMS0608W,BGC,Escolarizada,787,913,,1700,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0,7,5,,12,0,0,,0,0,0,,0,7,7,,14,0,0,,0
4 2018-2019 14MMS0609V BGAI,4,2018-2019,14MMS0609V,BGAI,Escolarizada,231,150,,381,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
5 2018-2019 14MMS0609V BGC,5,2018-2019,14MMS0609V,BGC,Escolarizada,409,650,,1059,0,2,,2,0,0,,0,0,0,,0,1,0,,1,0,0,,0,2,3,,5,0,0,,0,1,0,,1,4,5,,9,0,0,,0
6 2018-2019 14MMS0609V BGC,6,2018-2019,14MMS0609V,BGC,Escolarizada,438,530,,968,1,0,,1,0,0,,0,0,0,,0,1,0,,1,1,0,,1,4,4,,8,0,1,,1,1,0,,1,8,5,,13,0,0,,0
7 2018-2019 14MMS0610K BGAI,7,2018-2019,14MMS0610K,BGAI,Escolarizada,136,152,,288,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
8 2018-2019 14MMS0610K BGC,8,2018-2019,14MMS0610K,BGC,Escolarizada,494,717,,1211,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,2,4,,6,0,0,,0,0,0,,0,2,5,,7,0,0,,0
9 2018-2019 14MMS0610K BGC,9,2018-2019,14MMS0610K,BGC,Escolarizada,475,586,,1061,0,1,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0,3,3,,6,0,1,,1,0,0,,0,4,5,,9,0,0,,0
10 2018-2019 14MMS0611J BGC,10,2018-2019,14MMS0611J,BGC,Escolarizada,512,746,,1258,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,6,7,,13,0,0,,0,0,0,,0,7,8,,15,0,0,,0
11 2018-2019 14MMS0611J BGC,11,2018-2019,14MMS0611J,BGC,Escolarizada,491,708,,1199,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,3,4,,7,0,0,,0,0,0,,0,3,5,,8,0,0,,0
12 2018-2019 14MMS0612I BGC,12,2018-2019,14MMS0612I,BGC,Escolarizada,800,1300,,2100,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,5,6,,11,0,1,,1,0,0,,0,5,8,,13,0,0,,0
13 2018-2019 14MMS0612I BGC,13,2018-2019,14MMS0612I,BGC,Escolarizada,887,1213,,2100,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,1,,1,5,8,,13,0,0,,0,0,0,,0,5,10,,15,0,0,,0
14 2018-2019 14MMS0613H BGC,14,2018-2019,14MMS0613H,BGC,Escolarizada,1042,1355,,2397,1,0,,1,0,0,,0,0,0,,0,0,0,,0,13,15,,28,7,7,,14,0,0,,0,0,0,,0,21,22,,43,0,0,,0
15 2018-2019 14MMS0613H BGC,15,2018-2019,14MMS0613H,BGC,Escolarizada,1078,1312,,2390,1,3,,4,0,1,,1,1,0,,1,0,0,,0,1,0,,1,10,9,,19,0,0,,0,0,0,,0,13,13,,26,1,0,,1
16 2018-2019 14MMS0761Q BGC,16,2018-2019,14MMS0761Q,BGC,Escolarizada,78,94,,172,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
17 2018-2019 14MMS0761Q BGC,17,2018-2019,14MMS0761Q,BGC,Escolarizada,31,55,,86,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
18 2018-2019 14MMS0647Y BGAI,18,2018-2019,14MMS0647Y,BGAI,Escolarizada,58,70,,128,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,3,,4,0,0,,0,0,0,,0,2,4,,6,0,0,,0
19 2018-2019 14MMS0647Y BGC,19,2018-2019,14MMS0647Y,BGC,Escolarizada,632,810,,1442,1,1,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,2,5,,7,0,0,,0,0,0,,0,4,6,,10,0,0,,0
20 2018-2019 14MMS0647Y BGC,20,2018-2019,14MMS0647Y,BGC,Escolarizada,579,778,,1357,1,1,,2,0,1,,1,0,0,,0,0,0,,0,1,0,,1,8,9,,17,0,0,,0,0,0,,0,10,11,,21,0,0,,0
21 2018-2019 14MMS0762P BGC,21,2018-2019,14MMS0762P,BGC,Escolarizada,29,34,,63,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
22 2018-2019 14MMS0762P BGC,22,2018-2019,14MMS0762P,BGC,Escolarizada,65,66,,131,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
23 2018-2019 14MMS0648X BGC,23,2018-2019,14MMS0648X,BGC,Escolarizada,575,894,,1469,2,1,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,7,,10,0,0,,0,0,0,,0,5,8,,13,0,0,,0
24 2018-2019 14MMS0648X BGC,24,2018-2019,14MMS0648X,BGC,Escolarizada,599,746,,1345,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,7,7,,14,0,0,,0,0,0,,0,7,7,,14,0,0,,0
25 2018-2019 14MMS0649W BGAI,25,2018-2019,14MMS0649W,BGAI,Escolarizada,213,212,,425,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,1,,1,0,0,,0,1,2,,3,0,0,,0
26 2018-2019 14MMS0649W BGC,26,2018-2019,14MMS0649W,BGC,Escolarizada,954,1337,,2291,0,0,,0,1,0,,1,0,0,,0,1,1,,2,0,0,,0,5,8,,13,0,1,,1,1,0,,1,8,10,,18,0,0,,0
27 2018-2019 14MMS0649W BGC,27,2018-2019,14MMS0649W,BGC,Escolarizada,838,1038,,1876,0,1,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,4,7,,11,1,0,,1,0,0,,0,6,8,,14,0,0,,0
28 2018-2019 14MMS0650L BGAI,28,2018-2019,14MMS0650L,BGAI,Escolarizada,160,140,,300,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
29 2018-2019 14MMS0650L BGC,29,2018-2019,14MMS0650L,BGC,Escolarizada,662,1026,,1688,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,4,3,,7,0,0,,0,0,0,,0,6,3,,9,0,0,,0
30 2018-2019 14MMS0650L BGC,30,2018-2019,14MMS0650L,BGC,Escolarizada,637,726,,1363,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,11,,15,0,0,,0,0,0,,0,4,11,,15,0,0,,0
31 2018-2019 14MMS0646Z BGC,31,2018-2019,14MMS0646Z,BGC,Escolarizada,1084,1212,,2296,1,0,,1,1,0,,1,0,0,,0,0,1,,1,0,0,,0,5,3,,8,1,0,,1,0,0,,0,8,4,,12,0,0,,0
32 2018-2019 14MMS0646Z BGC,32,2018-2019,14MMS0646Z,BGC,Escolarizada,1183,1252,,2435,1,0,,1,0,0,,0,0,0,,0,0,0,,0,2,1,,3,10,6,,16,0,0,,0,0,0,,0,13,7,,20,0,0,,0
33 2018-2019 14MMS0640E BGC,33,2018-2019,14MMS0640E,BGC,Escolarizada,178,253,,431,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,1,1,,2,0,0,,0,0,0,,0,1,2,,3,0,0,,0
34 2018-2019 14MMS0640E BGC,34,2018-2019,14MMS0640E,BGC,Escolarizada,183,230,,413,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,3,3,,6,0,0,,0,0,0,,0,3,4,,7,0,0,,0
35 2018-2019 14MMS0615F BGC,35,2018-2019,14MMS0615F,BGC,Escolarizada,413,578,,991,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,2,2,,4,0,0,,0,0,0,,0,3,2,,5,0,0,,0
