name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2019-2020 14MMS0607X BGC,1,2019-2020,14MMS0607X,BGC,Escolarizada,570,742,,1312,1,2,,3,0,0,,0,0,1,,1,0,0,,0,0,0,,0,7,8,,15,0,0,,0,0,0,,0,8,11,,19,0,0,,0
2 2019-2020 14MMS0607X BGC,2,2019-2020,14MMS0607X,BGC,Escolarizada,462,612,,1074,2,1,,3,0,0,,0,0,0,,0,2,0,,2,0,0,,0,5,7,,12,0,0,,0,0,0,,0,9,8,,17,0,1,,1
3 2019-2020 14MMS0607X BGAI,3,2019-2020,14MMS0607X,BGAI,Escolarizada,55,69,,124,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
4 2019-2020 14MMS0608W BGC,4,2019-2020,14MMS0608W,BGC,Escolarizada,778,1017,,1795,1,0,,1,1,0,,1,0,0,,0,1,2,,3,1,0,,1,8,13,,21,0,0,,0,0,0,,0,12,15,,27,0,0,,0
5 2019-2020 14MMS0608W BGC,5,2019-2020,14MMS0608W,BGC,Escolarizada,794,860,,1654,0,2,,2,0,0,,0,0,0,,0,1,1,,2,0,0,,0,7,4,,11,0,0,,0,0,0,,0,8,7,,15,0,1,,1
6 2019-2020 14MMS0608W BGAI,6,2019-2020,14MMS0608W,BGAI,Escolarizada,17,22,,39,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
7 2019-2020 14MMS0609V BGC,7,2019-2020,14MMS0609V,BGC,Escolarizada,411,672,,1083,0,2,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,2,,6,0,0,,0,1,0,,1,5,4,,9,0,0,,0
8 2019-2020 14MMS0609V BGC,8,2019-2020,14MMS0609V,BGC,Escolarizada,416,540,,956,0,1,,1,0,0,,0,0,0,,0,2,0,,2,1,0,,1,7,4,,11,0,1,,1,1,0,,1,11,6,,17,0,0,,0
9 2019-2020 14MMS0609V BGAI,9,2019-2020,14MMS0609V,BGAI,Escolarizada,106,94,,200,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
10 2019-2020 14MMS0610K BGC,10,2019-2020,14MMS0610K,BGC,Escolarizada,458,750,,1208,0,0,,0,1,0,,1,0,0,,0,0,1,,1,0,0,,0,4,7,,11,0,0,,0,0,0,,0,5,8,,13,0,0,,0
