name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
8 2021-2022 14MMS0610K BGC,8,2021-2022,14MMS0610K,BGC,Escolarizada,506,663,,1169,2,0,,2,1,2,,3,0,0,,0,0,0,,0,0,0,,0,8,16,,24,0,0,,0,0,0,,0,11,18,,29,0,0,,0
19 2021-2022 14MMS0616E BGC,19,2021-2022,14MMS0616E,BGC,Escolarizada,243,306,,549,0,0,,0,1,0,,1,0,0,,0,0,1,,1,0,0,,0,3,3,,6,0,0,,0,0,0,,0,4,4,,8,0,0,,0
20 2021-2022 14MMS0616E BGC,20,2021-2022,14MMS0616E,BGC,Escolarizada,225,324,,549,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,4,5,,9,1,0,,1,0,0,,0,7,5,,12,0,0,,0
21 2021-2022 14MMS0617D BGC,21,2021-2022,14MMS0617D,BGC,Escolarizada,276,357,,633,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,3,6,,9,0,0,,0,0,0,,0,5,6,,11,0,0,,0
23 2021-2022 14MMS0618C BGC,23,2021-2022,14MMS0618C,BGC,Escolarizada,383,472,,855,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,8,,11,0,0,,0,0,0,,0,3,8,,11,0,0,,0
24 2021-2022 14MMS0618C BGC,24,2021-2022,14MMS0618C,BGC,Escolarizada,373,480,,853,1,0,,1,2,0,,2,0,0,,0,0,0,,0,0,0,,0,4,1,,5,0,3,,3,0,0,,0,7,4,,11,0,0,,0
39 2021-2022 14MMS0626L BGC,39,2021-2022,14MMS0626L,BGC,Escolarizada,497,629,,1126,0,0,,0,2,1,,3,0,0,,0,0,1,,1,0,0,,0,11,28,,39,0,0,,0,0,0,,0,13,30,,43,0,0,,0
49 2021-2022 14MMS0631X BGC,49,2021-2022,14MMS0631X,BGC,Escolarizada,870,1004,,1874,1,2,,3,0,0,,0,0,0,,0,3,0,,3,0,0,,0,5,14,,19,1,1,,2,0,0,,0,10,17,,27,4,6,,10
57 2021-2022 14MMS0635T BGC,57,2021-2022,14MMS0635T,BGC,Escolarizada,347,409,,756,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,6,15,,21,0,0,,0,0,0,,0,7,16,,23,0,0,,0
59 2021-2022 14MMS0636S BGC,59,2021-2022,14MMS0636S,BGC,Escolarizada,725,758,,1483,3,1,,4,0,1,,1,0,0,,0,0,0,,0,1,0,,1,7,9,,16,0,0,,0,0,0,,0,11,11,,22,1,1,,2
64 2021-2022 14MMS0638Q BGC,64,2021-2022,14MMS0638Q,BGC,Escolarizada,184,221,,405,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
68 2021-2022 14MMS0649W BGC,68,2021-2022,14MMS0649W,BGC,Escolarizada,16,19,,35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
69 2021-2022 14MMS0650L BGC,69,2021-2022,14MMS0650L,BGC,Escolarizada,12,8,,20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
73 2021-2022 14MMS0643B BGC,73,2021-2022,14MMS0643B,BGC,Escolarizada,15,12,,27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
81 2021-2022 14MMS0640E BGC,81,2021-2022,14MMS0640E,BGC,Escolarizada,265,304,,569,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,2,5,,7,0,1,,1,0,0,,0,2,7,,9,0,0,,0
88 2021-2022 14MMS0643B BGC,88,2021-2022,14MMS0643B,BGC,Escolarizada,248,277,,525,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,1,1,,2,0,0,,0,0,0,,0,1,3,,4,0,0,,0
