name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2022-2023 14MMS0608W BGAI,1,2022-2023,14MMS0608W,BGAI,Escolarizada,49,34,,83,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2 2022-2023 14MMS0608W BGC,2,2022-2023,14MMS0608W,BGC,Escolarizada,999,1093,,2092,3,0,,3,0,1,,1,0,0,,0,0,0,,0,1,1,,2,11,23,,34,0,0,,0,2,0,,2,17,25,,42,2,1,,3
3 2022-2023 14MMS0608W BGC,3,2022-2023,14MMS0608W,BGC,Escolarizada,925,1164,,2089,0,1,,1,2,0,,2,0,0,,0,1,0,,1,2,0,,2,15,18,,33,0,1,,1,0,0,,0,20,20,,40,0,0,,0
4 2022-2023 14MMS0609V BGAI,4,2022-2023,14MMS0609V,BGAI,Escolarizada,59,34,,93,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,0,,0,0,0,,0,3,1,,4,0,0,,0
5 2022-2023 14MMS0609V BGC,5,2022-2023,14MMS0609V,BGC,Escolarizada,483,705,,1188,1,0,,1,1,1,,2,0,0,,0,0,0,,0,0,0,,0,8,4,,12,1,0,,1,1,0,,1,12,5,,17,1,0,,1
6 2022-2023 14MMS0609V BGC,6,2022-2023,14MMS0609V,BGC,Escolarizada,463,722,,1185,2,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,8,14,,22,0,0,,0,0,0,,0,10,14,,24,0,0,,0
7 2022-2023 14MMS0610K BGAI,7,2022-2023,14MMS0610K,BGAI,Escolarizada,71,59,,130,0,0,,0,1,0,,1,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0
8 2022-2023 14MMS0610K BGC,8,2022-2023,14MMS0610K,BGC,Escolarizada,489,684,,1173,2,1,,3,1,2,,3,0,0,,0,0,0,,0,0,0,,0,7,11,,18,0,1,,1,0,0,,0,10,15,,25,0,0,,0
9 2022-2023 14MMS0610K BGC,9,2022-2023,14MMS0610K,BGC,Escolarizada,539,630,,1169,3,1,,4,1,1,,2,0,0,,0,0,0,,0,0,1,,1,8,11,,19,0,0,,0,0,0,,0,12,14,,26,0,0,,0
10 2022-2023 14MMS0611J BGAI,10,2022-2023,14MMS0611J,BGAI,Escolarizada,42,43,,85,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
11 2022-2023 14MMS0611J BGC,11,2022-2023,14MMS0611J,BGC,Escolarizada,516,866,,1382,3,0,,3,0,0,,0,0,0,,0,1,0,,1,1,0,,1,5,15,,20,1,0,,1,0,0,,0,11,15,,26,0,0,,0
12 2022-2023 14MMS0611J BGC,12,2022-2023,14MMS0611J,BGC,Escolarizada,520,859,,1379,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,1,,1,5,9,,14,2,0,,2,0,0,,0,7,11,,18,1,2,,3
13 2022-2023 14MMS0612I BGAI,13,2022-2023,14MMS0612I,BGAI,Escolarizada,34,26,,60,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,1,,1,0,0,,0,0,2,,2,0,0,,0
14 2022-2023 14MMS0612I BGC,14,2022-2023,14MMS0612I,BGC,Escolarizada,1063,1461,,2524,0,2,,2,4,0,,4,0,0,,0,1,0,,1,1,1,,2,13,22,,35,0,2,,2,1,0,,1,20,27,,47,1,1,,2
15 2022-2023 14MMS0612I BGC,15,2022-2023,14MMS0612I,BGC,Escolarizada,1061,1459,,2520,1,4,,5,1,0,,1,0,0,,0,0,1,,1,0,2,,2,14,16,,30,0,1,,1,0,0,,0,16,24,,40,1,0,,1
