row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado
1,BGAI,Bachillerato General por Áreas Interdisciplinarias,Bachillerato General,,,,
2,BGC,Bachillerato General por Competencias,Bachillerato General,,,,
3,2021300033,Técnico en Música,Profesional Medio,021300,020000,021000,021300
4,2051200001,Tecnólogo Profesional en Biotecnología,Profesional Medio,051200,050000,051000,051200
5,2062100003,Tecnólogo Profesional en Telecomunicaciones,Profesional Medio,062100,060000,062000,062100
6,2062200007,Tecnólogo Profesional en Informática,Profesional Medio,062200,060000,062000,062200
7,2062200013,Tecnólogo Profesional en Sistemas Informáticos,Profesional Medio,062200,060000,062000,062200
8,2071100002,Tecnólogo Profesional en Mecánica Industrial,Profesional Medio,071100,070000,071000,071100
9,2071200002,Tecnólogo Profesional en Electricidad Industrial,Profesional Medio,071200,070000,071000,071200
10,2071200011,Tecnólogo Profesional en Energías Alternas,Profesional Medio,071200,070000,071000,071200
11,2071400001,Tecnólogo Profesional Químico Industrial,Profesional Medio,071400,070000,071000,071400
12,2071400003,Tecnólogo Profesional en Procesos Químicos Industriales,Profesional Medio,071400,070000,071000,071400
13,2072000001,Tecnólogo Profesional en Procesos de Manufactura Competitiva,Profesional Medio,072000,070000,072000,072000
14,2072100002,Tecnólogo Profesional Químico en Análisis y Procesos de Alimentos,Profesional Medio,072100,070000,072000,072100
15,2072300001,Tecnólogo Profesional en Plásticos,Profesional Medio,072300,070000,072000,072300
16,2072400001,Metalurgia,Profesional Medio,072400,070000,072000,072400
17,2072400002,Fundición,Profesional Medio,072400,070000,072000,072400
18,2072400003,Tecnólogo Profesional en Metalurgia y Fundición,Profesional Medio,072400,070000,072000,072400
19,2081100001,Agropecuario,Profesional Medio,081100,080000,081000,081100
20,2092100004,Enfermería,Profesional Medio,092100,090000,092000,092100
21,2101500001,Alimentos,Profesional Medio,101500,100000,101000,101500
22,3021600008,Bachillerato Tecnológico en Diseño y Confección de Prendas de Vestir y Artesanías,Bachillerato Tecnológico,021600,020000,021000,021600
23,3021600010,Bachillerato Intercultural Tecnológico en Diseño y Confección de prendas de vestir y Artesanias,Bachillerato Tecnológico,021600,020000,021000,021600
24,3021700001,Bachillerato Tecnológico en Cerámica,Bachillerato Tecnológico,021700,020000,021000,021700
25,3041100005,Bachillerato Tecnológico en Gestión Aduanal y Operaciones Empresariales,Bachillerato Tecnológico,041100,040000,041000,041100
26,3042000001,Bachillerato Tecnológico en Administración,Bachillerato Tecnológico,042000,040000,042000,042000
27,3042100001,Administración de Empresas,Bachillerato Tecnológico,042100,040000,042000,042100
28,3042100026,Bachillerato Tecnológico en Administración de Pequeños y Medianos Negocios,Bachillerato Tecnológico,042100,040000,042000,042100
29,3061300004,Bachillerato Técnico en Desarrollo de Software,Bachillerato Tecnológico,061300,060000,061000,061300
30,3071700002,Bachillerato Tecnológico Químico en Control de Calidad y Medio Ambiente,Bachillerato Tecnológico,071700,070000,071000,071700
31,3073200001,Bachillerato Tecnológico en Diseño Industrial,Bachillerato Tecnológico,073200,070000,073000,073200
32,3081100003,Bachillerato Tecnológico Agropecuario,Bachillerato Tecnológico,081100,080000,081000,081100
33,3081100019,Bachillerato Tecnológico Agropecuario y Forestal,Bachillerato Tecnológico,081100,080000,081000,081100
34,3081100024,Bachillerato Intercultural Tecnológico Agropecuario y Forestal,Bachillerato Tecnológico,081100,080000,081000,081100
35,3093100005,Bachillerato Tecnológico en Prótesis Dental,Bachillerato Tecnológico,093100,090000,093000,093100
36,3095300007,Bachillerato Tecnológico en Citología e Histología,Bachillerato Tecnológico,095300,090000,095000,095300
37,3101600003,Bachillerato Tecnológico en Turismo,Bachillerato Tecnológico,101600,100000,101000,101600
38,4021500005,Técnico Superior Universitario en Multimedia,Técnico Superior Universitario,021500,020000,021000,021500
39,4061300006,Técnico Superior Universitario en Sistemas Informáticos,Técnico Superior Universitario,061300,060000,061000,061300
40,4062100001,Técnico Superior Universitario en Administración de Redes de Cómputo,Técnico Superior Universitario,062100,060000,062000,062100
41,4062100003,Técnico Superior Universitario en Redes de Cómputo,Técnico Superior Universitario,062100,060000,062000,062100
42,4062100004,Técnico Superior Universitario en Redes y Telecomunicaciones,Técnico Superior Universitario,062100,060000,062000,062100
43,4062200010,Técnico Superior Universitario en Tecnologías de la Información,Técnico Superior Universitario,062200,060000,062000,062200
44,4071300015,Técnico Superior Universitario en Electrónica,Técnico Superior Universitario,071300,070000,071000,071300
45,4071300020,Técnico Superior Universitario en Electrónica y Pruebas,Técnico Superior Universitario,071300,070000,071000,071300
46,4071500002,Técnico Superior Universitario en Electrónica y Mecánica Automotriz,Técnico Superior Universitario,071500,070000,071000,071500
47,4072000010,Técnico Superior Universitario en Procesos de Manufactura,Profesional Medio,072000,070000,072000,072000
