row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado,
1,BGAI,Bachillerato General por Áreas Interdisciplinarias,Bachillerato General,,,,,
2,BGC,Bachillerato General por Competencias,Bachillerato General,,,,,
3,2021300033,Música,Profesional Medio,021300,020000,021000,021300,
4,2051200001,Biotecnología,Profesional Medio,051200,050000,051000,051200,
5,2062100003,Telecomunicaciones,Profesional Medio,062100,060000,062000,062100,
6,2062200007,Informática,Profesional Medio,062200,060000,062000,062200,
7,2062200013,Sistemas Informáticos,Profesional Medio,062200,060000,062000,062200,
8,2071100002,Mecánica Industrial,Profesional Medio,071100,070000,071000,071100,
9,2071200002,Electricidad Industrial,Profesional Medio,071200,070000,071000,071200,
10,2071200011,Energías Alternas,Profesional Medio,071200,070000,071000,071200,
11,2071400001,Química Industrial,Profesional Medio,071400,070000,071000,071400,
12,2071400003,Procesos Químicos Industriales,Profesional Medio,071400,070000,071000,071400,
13,2072000001,Procesos de Manufactura Competitiva,Profesional Medio,072000,070000,072000,072000,
14,2072100002,Químico en Análisis y Procesos de Alimentos,Profesional Medio,072100,070000,072000,072100,
15,2072300001,Plásticos,Profesional Medio,072300,070000,072000,072300,
16,2072400001,Metalurgia,Profesional Medio,072400,070000,072000,072400,
17,2072400002,Fundición,Profesional Medio,072400,070000,072000,072400,
18,2072400003,Metalurgia y Fundición,Profesional Medio,072400,070000,072000,072400,
19,2081100001,Agropecuario,Profesional Medio,081100,080000,081000,081100,
20,2092100004,Enfermería,Profesional Medio,092100,090000,092000,092100,
21,2101500001,Alimentos,Profesional Medio,101500,100000,101000,101500,
22,3021600008,Diseño y Confección de Prendas de Vestir y Artesanías,Bachillerato Tecnológico,021600,020000,021000,021600,
23,3021600010,Bachillerato Intercultural Tecnológico en Diseño y Confección de prendas de vestir y Artesanias,Bachillerato Tecnológico,021600,020000,021000,021600,
24,3021700001,Cerámica,Bachillerato Tecnológico,021700,020000,021000,021700,
25,3041100005,Tramitación Aduanal,Bachillerato Tecnológico,041100,040000,041000,041100,
26,3042000001,Administración,Bachillerato Tecnológico,042000,040000,042000,042000,
27,3042100001,Administración de Empresas,Bachillerato Tecnológico,042100,040000,042000,042100,
28,3042100026,Administración de Pequeños y Medianos Negocios,Bachillerato Tecnológico,042100,040000,042000,042100,
29,3061300004,Desarrollo de Software,Bachillerato Tecnológico,061300,060000,061000,061300,
30,3071700002,Control de Calidad,Bachillerato Tecnológico,071700,070000,071000,071700,
31,3073200001,Construcción,Bachillerato Tecnológico,073200,070000,073000,073200,
32,3081100003,Agropecuario,Bachillerato Tecnológico,081100,080000,081000,081100,
33,3081100019,Agropecuario y Forestal,Bachillerato Tecnológico,081100,080000,081000,081100,
34,3081100024,Bachillerato Intercultural Tecnológico Agropecuario y Forestal,Bachillerato Tecnológico,081100,080000,081000,081100,
35,3093100005,Prótesis Dental,Bachillerato Tecnológico,093100,090000,093000,093100,
36,3095300007,Citología e Histología,Bachillerato Tecnológico,095300,090000,095000,095300,
37,3101600003,Turismo,Bachillerato Tecnológico,101600,100000,101000,101600,
38,4021500005,Técnico Superior Universitario en Multimedia,Técnico Superior Universitario,021500,020000,021000,021500,
39,4061300006,Técnico Superior Universitario en Sistemas Informáticos,Técnico Superior Universitario,061300,060000,061000,061300,
40,4062100001,Técnico Superior Universitario en Administración de Redes de Cómputo,Técnico Superior Universitario,062100,060000,062000,062100,
41,4062100003,Técnico Superior Universitario en Redes de Cómputo,Técnico Superior Universitario,062100,060000,062000,062100,
42,4062100004,Técnico Superior Universitario en Redes y Telecomunicaciones,Técnico Superior Universitario,062100,060000,062000,062100,
43,4062200010,Técnico Superior Universitario en Tecnologías de la Información,Técnico Superior Universitario,062200,060000,062000,062200,
44,4071300015,Técnico Superior Universitario en Electrónica,Técnico Superior Universitario,071300,070000,071000,071300,
45,4071300020,Técnico Superior Universitario en Electrónica y Pruebas,Técnico Superior Universitario,071300,070000,071000,071300,
46,4071500002,Técnico Superior Universitario en Electrónica y Mecánica Automotriz,Técnico Superior Universitario,071500,070000,071000,071500,
47,4093100005,Técnico Superior Universitario en Prótesis Dental,Técnico Superior Universitario,093100,090000,093000,093100,
48,4094100005,Técnico Superior Universitario en Terapia Física,Técnico Superior Universitario,094100,090000,094000,094100,
49,4094100010,Técnico Superior Universitario en Terapia Respiratoria,Técnico Superior Universitario,094100,090000,094000,094100,
50,4095300010,Técnico Superior Universitario en Radiología e Imagen,Técnico Superior Universitario,095300,090000,095000,095300,
51,4101600010,Técnico Superior Universitario en Servicios Turísticos,Técnico Superior Universitario,101600,100000,101000,101600,
52,4101600012,Técnico Superior Universitario en Turismo Alternativo,Técnico Superior Universitario,101600,100000,101000,101600,
