row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado,
39,4061300006,Técnico Superior Universitario en Sistemas Informáticos,Técnico Superior Universitario,061300,060000,061000,061300,
43,4062200010,Técnico Superior Universitario en Tecnologías de la Información,Técnico Superior Universitario,062200,060000,062000,062200,
45,4071300020,Técnico Superior Universitario en Electrónica y Pruebas,Técnico Superior Universitario,071300,070000,071000,071300,
249,5071300147,Ingeniería Mecatrónica DUAL,Licenciatura,071300,070000,071000,071300,
354,6091323004,Especialidad en Urgencias Pediátricas,Especialidad,091323,090000,091000,091300,
401,6093207002,Especialidad en Patología y Medicina Bucal,Especialidad,093207,090000,093000,093200,
441,7022500008,Maestría en Estudios Mesoamericanos,Maestría,022500,020000,022000,022500,
449,7031000067,"Maestría en Desarrollo Humano, Educación e Interculturalidad",Maestría,031000,030000,031000,031000,
464,7031200035,Maestría en Estudios de Género,Maestría,031200,030000,031000,031200,
469,7031200093,Maestría en Estudios Rurales,Maestría,031200,030000,031000,031200,
475,7031300118,Maestría en Ciencia de la Ciudad,Maestría,031300,030000,031000,031300,
481,7031500078,Maestría en Neurociencias De Las Adicciones,Maestría,031500,030000,031000,031500,
488,7033200077,Maestría en Genética Forense e Indentificación Humana,Maestría,033200,030000,033000,033200,
497,7041300082,Maestría en Finanzas para el Desarrollo Sostenible,Maestría,041300,040000,041000,041300,
507,7042100268,Maestría en Gestión del Capital Humano y Desarrollo Organizacional,Maestría,042100,040000,042000,042100,
525,7051300093,"Maestría en Ciudad, Cambio Climático y Resiliencia",Maestría,051300,050000,051000,051300,
544,7061300057,Maestría en Ingeniería y Ciencia De Datos,Maestría,061300,060000,061000,061300,
556,7071300053,Maestría en Ciencias en Robótica e Inteligencia Artificial,Maestría,071300,070000,071000,071300,
587,7094200035,Maestría en Ciencia del comportamiento con orientación en alimentación y nutrición,Maestría,094200,090000,094000,094200,
596,7095600068,Maestría en Educación en Ciencias de la Salud,Maestría,095600,090000,095000,095600,
612,8031000021,"Doctorado en Desarrollo Humano, Educación e Interculturalidad",Doctorado,031000,030000,031000,031000,
616,8031100040,Doctorado en Psicología de la Salud,Doctorado,031100,030000,031000,031100,
650,8061100020,Doctorado en Ciencias en Inteligencia Computacional,Doctorado,061100,060000,061000,061100,
668,8094200006,Doctorado en Ciencia del comportamiento con orientación en alimentación y nutrición,Doctorado,094200,090000,094000,094200,
