row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion
1,BGAI,Bachillerato General por Áreas Interdisciplinarias,Bachillerato General,
2,BGC,Bachillerato General por Competencias,Bachillerato General,
3,2021300033,Técnico en Música,Profesional Medio,021000
4,2051200001,Tecnólogo Profesional en Biotecnología,Bachillerato Tecnológico,051000
5,2062100003,Tecnólogo Profesional en Telecomunicaciones,Bachillerato Tecnológico,062000
6,2062200007,Tecnólogo Profesional en Informática,Bachillerato Tecnológico,062000
7,2062200013,Tecnólogo Profesional en Sistemas Informáticos,Bachillerato Tecnológico,062000
8,2071100002,Tecnólogo Profesional en Mecánica Industrial,Bachillerato Tecnológico,071000
9,2071200002,Tecnólogo Profesional en Electricidad Industrial,Bachillerato Tecnológico,071000
10,2071200011,Tecnólogo Profesional en Energías Alternas,Bachillerato Tecnológico,071000
11,2071400001,Tecnólogo Profesional Químico Industrial,Bachillerato Tecnológico,071000
12,2071400003,Tecnólogo Profesional en Procesos Químicos Industriales,Bachillerato Tecnológico,071000
13,2072000001,Tecnólogo Profesional en Procesos de Manufactura Competitiva,Bachillerato Tecnológico,072000
14,2072100002,Tecnólogo Profesional Químico en Análisis y Procesos de Alimentos,Bachillerato Tecnológico,072000
15,2072300001,Tecnólogo Profesional en Plásticos,Bachillerato Tecnológico,072000
16,2072400003,Tecnólogo Profesional en Metalurgia y Fundición,Bachillerato Tecnológico,072000
17,2092100004,Enfermería,Profesional Medio,092000
18,3021600008,Bachillerato Tecnológico en Diseño y Confección de Prendas de Vestir y Artesanías,Bachillerato Tecnológico,021000
19,3021700001,Bachillerato Tecnológico En Ceramica,Bachillerato Tecnológico,021000
20,3041100005,Bachillerato Tecnológico en Gestión Aduanal y Operaciones Empresariales,Bachillerato Tecnológico,041000
21,3042000001,Bachillerato Tecnológico en Administración,Bachillerato Tecnológico,042000
22,3042100026,Bachillerato Tecnológico en Administración de Pequeños y Medianos Negocios,Bachillerato Tecnológico,042000
23,3061300004,Bachillerato Técnico en Desarrollo de Software,Bachillerato Tecnológico,061000
24,3071700002,Bachillerato Tecnológico Químico en Control de Calidad y Medio Ambiente,Bachillerato Tecnológico,071000
25,3073200001,Bachillerato Tecnológico en Diseño y Construcción,Bachillerato Tecnológico,073000
26,3081100003,Bachillerato Tecnológico Agropecuario,Bachillerato Tecnológico,081000
27,3081100019,Bachillerato Tecnológico Agropecuario y Forestal,Bachillerato Tecnológico,081000
28,3093100005,Bachillerato Tecnológico en Prótesis Dental,Bachillerato Tecnológico,093000
29,3095300007,Bachillerato Tecnológico en Citología e Histología,Bachillerato Tecnológico,095000
30,3101600003,Bachillerato Tecnológico en Turismo,Bachillerato Tecnológico,101000
31,4071500002,Técnico Superior Universitario en Electrónica y Mecánica Automotriz,TSU,071000
32,4093100005,Técnico Superior Universitario en Prótesis Dental,TSU,093000
33,4094100005,Técnico Superior Universitario en Terapia Física,TSU,094000
34,4094100010,Técnico Superior Universitario en Terapia Respiratoria,TSU,094000
35,4095300010,Técnico Superior Universitario en Radiología e Imagen,TSU,095000
36,4103100001,"Técnico Superior Universitario en Emergencias, Seguridad Laboral y Rescates",TSU,103000
37,5011100022,Licenciatura en Educación Indigena,Licenciatura,011000
38,5011200004,Licenciatura en Desarrollo Educativo,Licenciatura,011000
39,5011500002,Licenciatura en Educación,Licenciatura,011000
40,5012603011,Licenciatura en Didáctica del Francés como Lengua Extranjera,Licenciatura,012000
41,5012603027,Licenciatura en Docencia del Inglés como Lengua Extranjera,Licenciatura,012000
42,5021000002,Licenciatura en Artes,Licenciatura,021000
43,5021000007,Licenciatura en Gestión Cultural,Licenciatura,021000
44,5021000010,Licenciatura en Historia del Arte,Licenciatura,021000
45,5021000110,"Licenciatura en Diseño, Arte y Tecnologías Interactivas",Licenciatura,021000
46,5021000114,Licenciatura en Artes Visuales para la Expresión Fotográfica,Licenciatura,021000
47,5021200054,Licenciatura en Artes Escénicas para la Expresión Dancística,Licenciatura,021000
48,5021200055,Licenciatura en Artes Escénicas para la Expresión Teatral,Licenciatura,021000
49,5021300063,Licenciatura en Música,Licenciatura,021000
50,5021400012,Licenciatura en Artes Audiovisuales,Licenciatura,021000
51,5021500002,Ingeniería en Comunicación Multimedia,Licenciatura,021000
52,5021500044,Licenciatura en Diseño para la Comunicación Gráfica,Licenciatura,021000
53,5021500119,Licenciatura en Escritura Creativa,Licenciatura,021000
54,5021600017,Licenciatura en Diseño de Interiores y Ambientación,Licenciatura,021000
55,5021600024,Licenciatura en Diseño de Modas,Licenciatura,021000
56,5021600062,Licenciatura en Diseño de Artesanía,Licenciatura,021000
57,5021700002,Licenciatura en Artes Visuales para la Expresión Plástica,Licenciatura,021000
58,5022000001,Licenciatura en Humanidades,Licenciatura,022000
59,5022200040,Licenciatura en Lenguas y Culturas Extranjeras,Licenciatura,022000
