row,name,nombre_prueba,plantel_adscripcion,clave_plantel,termino padre
1,1 Escuela Preparatoria de Jalisco,Escuela Preparatoria de Jalisco,,14MMS0607X,
2,2 Escuela Preparatoria Núm. 2,Escuela Preparatoria Núm. 2,,14MMS0608W,
3,3 Escuela Preparatoria Núm. 3,Escuela Preparatoria Núm. 3,,14MMS0609V,
4,4 Escuela Preparatoria Núm. 4,Escuela Preparatoria Núm. 4,,14MMS0610K,
5,5 Escuela Preparatoria Núm. 5,Escuela Preparatoria Núm. 5,,14MMS0611J,
6,6 Escuela Preparatoria Núm. 6,Escuela Preparatoria Núm. 6,,14MMS0612I,
7,7 Escuela Preparatoria Núm. 7,Escuela Preparatoria Núm. 7,,14MMS0613H,
8,8 Escuela Preparatoria Núm. 8,Escuela Preparatoria Núm. 8,,14MMS0647Y,
9,9 Módulo Cuquío,Módulo Cuquío,,14MMS0762P,
10,10 Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,9 Módulo Cuquío,14MMS0761Q,
11,11 Escuela Preparatoria Núm. 9,Escuela Preparatoria Núm. 9,,14MMS0648X,
12,12 Escuela Preparatoria Núm. 10,Escuela Preparatoria Núm. 10,,14MMS0649W,
13,13 Escuela Preparatoria Núm. 11,Escuela Preparatoria Núm. 11,,14MMS0650L,
14,14 Escuela Preparatoria Núm. 12,Escuela Preparatoria Núm. 12,,14MMS0646Z,
15,15 Módulo Tlaquepaque,Módulo Tlaquepaque,14 Escuela Preparatoria Núm. 12,14MMS0640E,
16,16 Escuela Preparatoria Núm. 13,Escuela Preparatoria Núm. 13,,14MMS0615F,
17,17 Escuela Preparatoria Núm. 14,Escuela Preparatoria Núm. 14,,14MMS0630Y,
18,18 Módulo La Experiencia,Módulo La Experiencia,17 Escuela Preparatoria Núm. 14,14MMS0641D,
19,19 Escuela Preparatoria Núm. 15,Escuela Preparatoria Núm. 15,,14MMS0631X,
20,20 Escuela Preparatoria Núm. 16,Escuela Preparatoria Núm. 16,,14MMS0636S,
21,21 Escuela Preparatoria Núm. 17,Escuela Preparatoria Núm. 17,,14MMS0752I,
22,22 Escuela Preparatoria Núm. 18,Escuela Preparatoria Núm. 18,,14MMS0753H,
23,23 Escuela Preparatoria Núm. 19,Escuela Preparatoria Núm. 19,,14MMS0757D,
24,24 Escuela Preparatoria Núm. 20,Escuela Preparatoria Núm. 20,,14MMS0756E,
25,25 Escuela Preparatoria Núm. 21,Escuela Preparatoria Núm. 21,,14MMS0878P,
26,26 Escuela Preparatoria Núm. 22,Escuela Preparatoria Núm. 22,,14MMS0844Z,
27,27 Escuela Vocacional,Escuela Vocacional,,14MMS0614G,
28,28 Escuela Politécnica de Guadalajara,Escuela Politécnica de Guadalajara,,14MMS0776S,
29,29 Escuela Politécnica Ing. Jorge Matute Remus,Escuela Politécnica Ing. Jorge Matute Remus,,14MMS0799C,
30,30 Escuela Preparatoria de Tonalá,Escuela Preparatoria de Tonalá,,14MMS0645Z,
31,31 Escuela Preparatoria de Tonalá Norte,Escuela Preparatoria de Tonalá Norte,,14MMS0623O,
32,32 Escuela Preparatoria Regional de Ahualulco de Mercado,Escuela Preparatoria Regional de Ahualulco de Mercado,,14MMS0643B,
33,33 Módulo Teuchitlán,Módulo Teuchitlán,32 Escuela Preparatoria Regional de Ahualulco de Mercado,14MMS0727J,
34,34 Escuela Preparatoria Regional de Amatitán,Escuela Preparatoria Regional de Amatitán,,14MMS0717C,
35,35 Módulo Arenal,Módulo Arenal,34 Escuela Preparatoria Regional de Amatitán,14MMS0718B,
